date,total_stocks,above_sma20,sma20_percent,above_sma50,sma50_percent,market_regime,market_score
2024-12-30,10,0,0.0,0,0.0,Strong Downtrend,0.0
2024-12-31,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-01,10,6,60.0,6,60.0,Uptrend,0.6
2025-01-02,10,10,100.0,10,100.0,Strong Uptrend,1.0
2025-01-03,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-06,10,3,30.0,3,30.0,Strong Downtrend,0.3
2025-01-07,10,4,40.0,4,40.0,Downtrend,0.4
2025-01-08,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-09,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-10,10,6,60.0,6,60.0,Uptrend,0.6
2025-01-13,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-14,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-15,10,6,60.0,6,60.0,Uptrend,0.6
2025-01-16,10,4,40.0,4,40.0,Downtrend,0.4
2025-01-17,10,3,30.0,3,30.0,Strong Downtrend,0.3
2025-01-20,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-21,10,4,40.0,4,40.0,Downtrend,0.4
2025-01-22,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-23,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-01-24,10,4,40.0,4,40.0,Downtrend,0.4
2025-01-27,10,3,30.0,3,30.0,Strong Downtrend,0.3
2025-01-28,10,4,40.0,4,40.0,Downtrend,0.4
2025-01-29,10,4,40.0,3,30.0,Downtrend,0.36
2025-01-30,10,6,60.0,7,70.0,Uptrend,0.64
2025-01-31,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-02-01,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-02-03,10,7,70.0,5,50.0,Choppy/Sideways,0.62
2025-02-04,10,9,90.0,9,90.0,Strong Uptrend,0.9
2025-02-05,10,8,80.0,9,90.0,Strong Uptrend,0.84
2025-02-06,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-02-07,10,6,60.0,6,60.0,Uptrend,0.6
2025-02-10,10,5,50.0,4,40.0,Choppy/Sideways,0.46
2025-02-11,10,5,50.0,4,40.0,Choppy/Sideways,0.46
2025-02-12,10,5,50.0,4,40.0,Choppy/Sideways,0.46
2025-02-13,10,4,40.0,3,30.0,Downtrend,0.36
2025-02-14,10,4,40.0,4,40.0,Downtrend,0.4
2025-02-17,10,4,40.0,3,30.0,Downtrend,0.36
2025-02-18,10,3,30.0,3,30.0,Strong Downtrend,0.3
2025-02-19,10,3,30.0,4,40.0,Downtrend,0.34
2025-02-20,10,1,10.0,2,20.0,Strong Downtrend,0.14
2025-02-21,10,1,10.0,2,20.0,Strong Downtrend,0.14
2025-02-24,10,1,10.0,1,10.0,Strong Downtrend,0.1
2025-02-25,10,1,10.0,2,20.0,Strong Downtrend,0.14
2025-02-27,10,1,10.0,3,30.0,Strong Downtrend,0.18
2025-02-28,10,1,10.0,2,20.0,Strong Downtrend,0.14
2025-03-03,10,0,0.0,2,20.0,Strong Downtrend,0.08
2025-03-04,10,0,0.0,2,20.0,Strong Downtrend,0.08
2025-03-05,10,1,10.0,1,10.0,Strong Downtrend,0.1
2025-03-06,10,1,10.0,1,10.0,Strong Downtrend,0.1
2025-03-07,10,2,20.0,3,30.0,Strong Downtrend,0.24
2025-03-10,10,2,20.0,1,10.0,Strong Downtrend,0.16
2025-03-11,10,5,50.0,4,40.0,Choppy/Sideways,0.46
2025-03-12,10,6,60.0,5,50.0,Choppy/Sideways,0.56
2025-03-13,10,6,60.0,4,40.0,Choppy/Sideways,0.52
2025-03-17,10,7,70.0,4,40.0,Choppy/Sideways,0.58
2025-03-18,10,6,60.0,3,30.0,Choppy/Sideways,0.48
2025-03-19,10,6,60.0,6,60.0,Uptrend,0.6
2025-03-20,10,7,70.0,6,60.0,Uptrend,0.66
2025-03-21,10,8,80.0,6,60.0,Uptrend,0.72
2025-03-24,10,9,90.0,6,60.0,Uptrend,0.78
2025-03-25,10,9,90.0,6,60.0,Uptrend,0.78
2025-03-26,10,9,90.0,6,60.0,Uptrend,0.78
2025-03-27,10,9,90.0,6,60.0,Uptrend,0.78
2025-03-28,10,9,90.0,6,60.0,Uptrend,0.78
2025-04-01,10,8,80.0,6,60.0,Uptrend,0.72
2025-04-02,10,8,80.0,6,60.0,Uptrend,0.72
2025-04-03,10,7,70.0,6,60.0,Uptrend,0.66
2025-04-04,10,7,70.0,5,50.0,Choppy/Sideways,0.62
2025-04-07,10,1,10.0,5,50.0,Choppy/Sideways,0.26
2025-04-08,10,5,50.0,6,60.0,Choppy/Sideways,0.54
2025-04-09,10,3,30.0,6,60.0,Choppy/Sideways,0.42
2025-04-11,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-04-15,10,7,70.0,8,80.0,Strong Uptrend,0.74
2025-04-16,10,7,70.0,8,80.0,Strong Uptrend,0.74
2025-04-17,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-04-21,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-04-22,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-04-23,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-04-24,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-04-25,10,9,90.0,8,80.0,Strong Uptrend,0.86
2025-04-28,10,10,100.0,8,80.0,Strong Uptrend,0.92
2025-04-29,10,10,100.0,8,80.0,Strong Uptrend,0.92
2025-04-30,10,10,100.0,8,80.0,Strong Uptrend,0.92
2025-05-02,10,10,100.0,8,80.0,Strong Uptrend,0.92
2025-05-05,10,9,90.0,8,80.0,Strong Uptrend,0.86
2025-05-06,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-05-07,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-05-08,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-05-09,10,4,40.0,8,80.0,Choppy/Sideways,0.56
2025-05-12,10,9,90.0,10,100.0,Strong Uptrend,0.94
2025-05-13,10,7,70.0,10,100.0,Strong Uptrend,0.82
2025-05-14,10,6,60.0,10,100.0,Uptrend,0.76
2025-05-15,10,8,80.0,10,100.0,Strong Uptrend,0.88
2025-05-16,10,7,70.0,10,100.0,Strong Uptrend,0.82
2025-05-19,10,7,70.0,10,100.0,Strong Uptrend,0.82
2025-05-20,10,5,50.0,9,90.0,Choppy/Sideways,0.66
2025-05-21,10,7,70.0,9,90.0,Strong Uptrend,0.78
2025-05-22,10,3,30.0,9,90.0,Choppy/Sideways,0.54
2025-05-23,10,7,70.0,9,90.0,Strong Uptrend,0.78
2025-05-26,10,9,90.0,9,90.0,Strong Uptrend,0.9
2025-05-27,10,5,50.0,9,90.0,Choppy/Sideways,0.66
2025-05-28,10,5,50.0,8,80.0,Choppy/Sideways,0.62
2025-05-29,10,5,50.0,8,80.0,Choppy/Sideways,0.62
2025-05-30,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-02,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-03,10,1,10.0,7,70.0,Choppy/Sideways,0.34
2025-06-04,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-05,10,6,60.0,7,70.0,Uptrend,0.64
2025-06-06,10,6,60.0,7,70.0,Uptrend,0.64
2025-06-09,10,7,70.0,8,80.0,Strong Uptrend,0.74
2025-06-10,10,7,70.0,10,100.0,Strong Uptrend,0.82
2025-06-11,10,7,70.0,10,100.0,Strong Uptrend,0.82
2025-06-12,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-13,10,2,20.0,6,60.0,Choppy/Sideways,0.36
2025-06-16,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-17,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-18,10,4,40.0,6,60.0,Choppy/Sideways,0.48
2025-06-19,10,4,40.0,5,50.0,Choppy/Sideways,0.44
2025-06-20,10,5,50.0,7,70.0,Choppy/Sideways,0.58
2025-06-23,10,4,40.0,5,50.0,Choppy/Sideways,0.44
2025-06-24,10,4,40.0,5,50.0,Choppy/Sideways,0.44
2025-06-25,10,6,60.0,6,60.0,Uptrend,0.6
2025-06-26,10,8,80.0,6,60.0,Uptrend,0.72
2025-06-27,10,8,80.0,7,70.0,Strong Uptrend,0.76
2025-06-30,10,8,80.0,8,80.0,Strong Uptrend,0.8
2025-07-01,10,7,70.0,6,60.0,Uptrend,0.66
2025-07-02,10,6,60.0,6,60.0,Uptrend,0.6
2025-07-03,10,5,50.0,5,50.0,Choppy/Sideways,0.5
2025-07-04,10,7,70.0,7,70.0,Strong Uptrend,0.7
2025-07-07,10,7,70.0,8,80.0,Strong Uptrend,0.74
2025-07-08,10,9,90.0,8,80.0,Strong Uptrend,0.86
2025-07-09,10,9,90.0,7,70.0,Strong Uptrend,0.82
2025-07-10,10,7,70.0,7,70.0,Strong Uptrend,0.7
2025-07-11,10,6,60.0,7,70.0,Uptrend,0.64
2025-07-14,10,5,50.0,6,60.0,Choppy/Sideways,0.54
2025-07-15,10,6,60.0,6,60.0,Uptrend,0.6
2025-07-16,10,4,40.0,8,80.0,Choppy/Sideways,0.56
2025-07-17,10,3,30.0,7,70.0,Choppy/Sideways,0.46
2025-07-18,10,3,30.0,5,50.0,Choppy/Sideways,0.38
2025-07-21,10,5,50.0,6,60.0,Choppy/Sideways,0.54
2025-07-22,10,4,40.0,6,60.0,Choppy/Sideways,0.48
2025-07-23,10,4,40.0,6,60.0,Choppy/Sideways,0.48
2025-07-24,10,4,40.0,6,60.0,Choppy/Sideways,0.48
2025-07-25,10,2,20.0,5,50.0,Choppy/Sideways,0.32
