date,total_stocks,above_sma20,sma20_percent,above_sma50,sma50_percent,above_avg_volume,volume_breadth_percent,avg_volume_ratio,volume_participation,market_regime,market_score
2024-12-30,564,0,0.0,0,0.0,0,0.0,1.0,0.0,Strong Downtrend,0.0
2024-12-31,564,371,65.78,371,65.78,163,28.9,0.85,0.24,Uptrend,0.527
2025-01-01,564,415,73.58,415,73.58,127,22.52,0.74,0.17,Uptrend,0.589
2025-01-02,564,467,82.8,467,82.8,221,39.18,1.0,0.39,Uptrend,0.663
2025-01-03,564,402,71.28,402,71.28,252,44.68,1.06,0.47,Uptrend,0.571
2025-01-06,564,113,20.04,113,20.04,307,54.43,1.16,0.63,Strong Downtrend,0.162
2025-01-07,564,218,38.65,218,38.65,194,34.4,0.94,0.32,Downtrend,0.31
2025-01-08,564,153,27.13,153,27.13,177,31.38,0.94,0.3,Strong Downtrend,0.218
2025-01-09,564,139,24.65,139,24.65,158,28.01,0.91,0.25,Strong Downtrend,0.198
2025-01-10,564,80,14.18,80,14.18,235,41.67,1.04,0.43,Strong Downtrend,0.114
2025-01-13,564,33,5.85,33,5.85,356,63.12,1.24,0.78,Strong Downtrend,0.048
2025-01-14,564,67,11.88,67,11.88,240,42.55,1.06,0.45,Strong Downtrend,0.096
2025-01-15,564,74,13.12,74,13.12,188,33.33,1.01,0.34,Strong Downtrend,0.106
2025-01-16,564,128,22.7,128,22.7,190,33.69,0.99,0.33,Strong Downtrend,0.182
2025-01-17,564,149,26.42,149,26.42,130,23.05,0.85,0.2,Strong Downtrend,0.212
2025-01-20,564,202,35.82,202,35.82,132,23.4,0.86,0.2,Downtrend,0.287
2025-01-21,564,136,24.11,136,24.11,166,29.43,0.94,0.28,Strong Downtrend,0.193
2025-01-22,564,108,19.15,108,19.15,183,32.45,1.02,0.33,Strong Downtrend,0.154
2025-01-23,564,142,25.18,142,25.18,153,27.13,0.92,0.25,Strong Downtrend,0.202
2025-01-24,564,98,17.38,98,17.38,145,25.71,0.95,0.25,Strong Downtrend,0.139
2025-01-27,564,54,9.57,53,9.4,249,44.15,1.16,0.51,Strong Downtrend,0.077
2025-01-28,564,55,9.75,57,10.11,347,61.52,1.32,0.81,Strong Downtrend,0.081
2025-01-29,564,109,19.33,96,17.02,187,33.16,1.08,0.36,Strong Downtrend,0.148
2025-01-30,564,130,23.05,117,20.74,188,33.33,1.07,0.36,Strong Downtrend,0.178
2025-01-31,564,224,39.72,168,29.79,192,34.04,1.05,0.36,Downtrend,0.289
2025-02-01,564,229,40.6,169,29.96,192,34.04,1.03,0.35,Choppy/Sideways,0.294
2025-02-03,564,190,33.69,140,24.82,221,39.18,1.11,0.43,Downtrend,0.244
2025-02-04,564,253,44.86,173,30.67,196,34.75,1.05,0.36,Choppy/Sideways,0.317
2025-02-05,564,306,54.26,208,36.88,196,34.75,1.07,0.37,Choppy/Sideways,0.383
2025-02-06,564,293,51.95,208,36.88,179,31.74,0.99,0.31,Choppy/Sideways,0.371
2025-02-07,564,267,47.34,187,33.16,154,27.3,0.95,0.26,Choppy/Sideways,0.337
2025-02-10,564,162,28.72,124,21.99,117,20.74,0.84,0.17,Strong Downtrend,0.21
2025-02-11,564,81,14.36,73,12.94,209,37.06,1.04,0.39,Strong Downtrend,0.111
2025-02-12,564,87,15.43,78,13.83,314,55.67,1.29,0.72,Strong Downtrend,0.12
2025-02-13,564,88,15.6,73,12.94,174,30.85,1.03,0.32,Strong Downtrend,0.117
2025-02-14,564,43,7.62,42,7.45,225,39.89,1.08,0.43,Strong Downtrend,0.061
2025-02-17,564,57,10.11,55,9.75,223,39.54,1.09,0.43,Strong Downtrend,0.081
2025-02-18,564,62,10.99,54,9.57,161,28.55,0.97,0.28,Strong Downtrend,0.084
2025-02-19,564,93,16.49,71,12.59,177,31.38,0.98,0.31,Strong Downtrend,0.121
2025-02-20,564,128,22.7,81,14.36,155,27.48,0.98,0.27,Strong Downtrend,0.157
2025-02-21,564,113,20.04,76,13.48,166,29.43,0.98,0.29,Strong Downtrend,0.141
2025-02-24,564,91,16.13,61,10.82,126,22.34,0.86,0.19,Strong Downtrend,0.114
2025-02-25,564,83,14.72,65,11.52,141,25.0,0.91,0.23,Strong Downtrend,0.109
2025-02-27,564,74,13.12,56,9.93,200,35.46,1.1,0.39,Strong Downtrend,0.096
2025-02-28,564,43,7.62,39,6.91,374,66.31,1.54,1.02,Strong Downtrend,0.061
2025-03-03,564,49,8.69,42,7.45,288,51.06,1.17,0.6,Strong Downtrend,0.067
2025-03-04,564,62,10.99,47,8.33,242,42.91,1.12,0.48,Strong Downtrend,0.081
2025-03-05,564,140,24.82,66,11.7,245,43.44,1.11,0.48,Strong Downtrend,0.16
2025-03-06,564,211,37.41,98,17.38,238,42.2,1.11,0.47,Downtrend,0.24
2025-03-07,564,244,43.26,100,17.73,170,30.14,0.99,0.3,Choppy/Sideways,0.27
