datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-09-04 09:15:00,2025-09-04,9,2025-09-04T09:15:00,175,0.0,0.0,0.0,0.0,Bearish
2025-09-04 10:15:00,2025-09-04,10,2025-09-04T10:15:00,175,24.57,24.57,7.43,0.05,Bearish
2025-09-04 11:15:00,2025-09-04,11,2025-09-04T11:15:00,175,28.0,28.0,9.14,0.05,Bearish
2025-09-04 12:15:00,2025-09-04,12,2025-09-04T12:15:00,175,30.86,30.86,7.43,0.04,Weak
2025-09-04 13:15:00,2025-09-04,13,2025-09-04T13:15:00,175,19.43,19.43,11.43,0.07,Bearish
2025-09-04 14:15:00,2025-09-04,14,2025-09-04T14:15:00,175,12.57,12.57,53.71,0.6,Bearish
2025-09-04 15:15:00,2025-09-04,15,2025-09-04T15:15:00,175,16.57,16.57,15.43,0.11,Bearish
2025-09-05 09:15:00,2025-09-05,9,2025-09-05T09:15:00,175,32.57,32.57,65.14,0.88,Weak
2025-09-05 10:15:00,2025-09-05,10,2025-09-05T10:15:00,175,31.43,31.43,24.57,0.21,Weak
2025-09-05 11:15:00,2025-09-05,11,2025-09-05T11:15:00,175,19.43,19.43,16.57,0.12,Bearish
2025-09-05 12:15:00,2025-09-05,12,2025-09-05T12:15:00,175,25.14,25.14,13.14,0.08,Bearish
2025-09-05 13:15:00,2025-09-05,13,2025-09-05T13:15:00,175,46.29,46.29,23.43,0.19,Neutral
2025-09-05 14:15:00,2025-09-05,14,2025-09-05T14:15:00,175,35.43,35.43,36.0,0.37,Weak
2025-09-05 15:15:00,2025-09-05,15,2025-09-05T15:15:00,175,46.29,46.29,11.43,0.08,Neutral
