timestamp,date,long_count,short_count,total_stocks,long_short_ratio,bullish_percent,bearish_percent,market_breadth,normalized_breadth,volatility_proxy,momentum_score,regime,trend,ma_5_bullish,ma_10_bullish,ma_20_bullish,breadth_change,breadth_acceleration
2025-07-10,2025-07-10,0,69,69,0.0,0.0,100.0,-69,-1.0,1.0,-0.9857142857142858,bearish,strong_down,0.0,0.0,0.0,,
2025-07-11,2025-07-11,0,83,83,0.0,0.0,100.0,-83,-1.0,1.0,-0.9880952380952381,bearish,strong_down,0.0,0.0,0.0,-14.0,
2025-07-14,2025-07-14,0,68,68,0.0,0.0,100.0,-68,-1.0,1.0,-0.9855072463768116,bearish,strong_down,0.0,0.0,0.0,15.0,29.0
2025-07-15,2025-07-15,0,58,58,0.0,0.0,100.0,-58,-1.0,1.0,-0.9830508474576272,bearish,strong_down,0.0,0.0,0.0,10.0,-5.0
2025-07-16,2025-07-16,0,63,63,0.0,0.0,100.0,-63,-1.0,1.0,-0.984375,bearish,strong_down,0.0,0.0,0.0,-5.0,-15.0
2025-07-17,2025-07-17,0,89,89,0.0,0.0,100.0,-89,-1.0,1.0,-0.9888888888888889,bearish,strong_down,0.0,0.0,0.0,-26.0,-21.0
2025-07-18,2025-07-18,0,86,86,0.0,0.0,100.0,-86,-1.0,1.0,-0.9885057471264368,bearish,strong_down,0.0,0.0,0.0,3.0,29.0
2025-07-21,2025-07-21,0,59,59,0.0,0.0,100.0,-59,-1.0,1.0,-0.9833333333333333,bearish,strong_down,0.0,0.0,0.0,27.0,24.0
2025-07-22,2025-07-22,0,75,75,0.0,0.0,100.0,-75,-1.0,1.0,-0.9868421052631579,bearish,strong_down,0.0,0.0,0.0,-16.0,-43.0
2025-07-23,2025-07-23,0,85,85,0.0,0.0,100.0,-85,-1.0,1.0,-0.9883720930232558,bearish,strong_down,0.0,0.0,0.0,-10.0,6.0
