"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"29","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","4.76%","4454","17,56,329"
"34","Kei Industries Limited","KEI","P&F | F.A","4.28%","3892.4","4,28,669"
"75","Patanjali Foods Ltd","PATANJALI","P&F | F.A","4.23%","1744.5","19,37,989"
"196","Piramal Pharma Ltd","PPLPHARMA","P&F | F.A","4.01%","216.22","1,83,59,436"
"176","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","3.9%","351.85","36,26,870"
"25","HDFC Asset Management Company Ltd","HDFCAMC","P&F | F.A","3.77%","5283.5","9,07,489"
"54","BSE (Bombay stock exchange)","BSE","P&F | F.A","3.47%","2546","57,31,544"
"17","Tata Elxsi Limited","TATAELXSI","P&F | F.A","3.25%","6380","7,70,631"
"129","Pg Electroplast Limited","PGEL","P&F | F.A","3.22%","808.9","49,36,560"
"31","Supreme Industries Limited","SUPREMEIND","P&F | F.A","3.13%","4240.5","1,40,399"
"32","Pi Industries Limited","PIIND","P&F | F.A","3.01%","4172","1,26,015"
"144","Syngene International Limited","SYNGENE","P&F | F.A","2.99%","655.35","19,69,741"
"172","Biocon Limited","BIOCON","P&F | F.A","2.99%","390.45","78,45,415"
"46","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","2.95%","2885","9,16,986"
"70","Blue Star Limited","BLUESTARCO","P&F | F.A","2.94%","1882.3","7,55,234"
"30","Computer Age Management Services Ltd","CAMS","P&F | F.A","2.93%","4248.4","4,99,171"
"204","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","2.86%","180.15","1,50,63,755"
"180","Petronet Lng Limited","PETRONET","P&F | F.A","2.83%","312.4","44,09,842"
"13","Amber Enterprises India Ltd","AMBER","P&F | F.A","2.82%","7840","5,53,082"
"12","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","2.76%","8311","3,66,546"
"167","Delhivery Ltd","DELHIVERY","P&F | F.A","2.76%","417.55","23,03,747"
"164","Birlasoft Ltd","BSOFT","P&F | F.A","2.74%","430.05","13,19,667"
"77","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","2.67%","1727.5","33,32,595"
"110","Uno Minda Ltd","UNOMINDA","P&F | F.A","2.64%","1105.9","2,71,527"
"208","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","2.48%","156.01","1,65,94,122"
"183","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","2.38%","269.35","27,90,431"
"106","Bharat Forge Limited","BHARATFORG","P&F | F.A","2.35%","1237.4","11,17,951"
"225","Yes Bank Limited","YESBANK","P&F | F.A","2.35%","20.46","15,50,46,810"
"99","Piramal Enterprises Limited","PEL","P&F | F.A","2.32%","1323.3","43,80,840"
"138","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","2.19%","684.45","37,86,182"
"15","Polycab India Ltd","POLYCAB","P&F | F.A","2.18%","6944.5","4,18,898"
"130","Fortis Healthcare Limited","FORTIS","P&F | F.A","2.17%","799.25","22,10,713"
"141","Upl Limited","UPL","P&F | F.A","2.17%","673.8","17,26,624"
"135","Tata Technologies Ltd","TATATECH","P&F | F.A","2.11%","731.95","72,63,964"
"45","Tube Investments of India Ltd","TIINDIA","P&F | F.A","2.07%","2930.3","2,25,760"
"133","The Indian Hotels Company Limited","INDHOTEL","P&F | F.A","2.04%","744.05","35,98,022"
"148","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","1.99%","619","25,37,107"
"14","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","1.95%","7360.5","5,17,978"
"47","Mphasis Limited","MPHASIS","P&F | F.A","1.95%","2884.8","3,48,867"
"102","KPIT Technologies Ltd","KPITTECH","P&F | F.A","1.95%","1291.9","11,30,498"
"159","Aarti Industries Limited","AARTIIND","P&F | F.A","1.92%","451.8","12,25,859"
"27","Alkem Laboratories Limited","ALKEM","P&F | F.A","1.91%","4933.2","2,25,907"
