date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,377.1,392.0,377.1,388.45,1547922,BALRAMCHIN
2024-05-27 00:00:00+05:30,392.05,392.6,379.25,380.2,1893228,BALRAMCHIN
2024-05-28 00:00:00+05:30,381.8,384.85,377.35,380.95,577218,BALRAMCHIN
2024-05-29 00:00:00+05:30,380.85,385.0,377.2,383.65,908231,BALRAMCHIN
2024-05-30 00:00:00+05:30,382.95,383.8,375.25,377.6,1429978,BALRAMCHIN
2024-05-31 00:00:00+05:30,378.45,383.8,375.95,378.25,1436154,BALRAMCHIN
2024-06-03 00:00:00+05:30,387.0,394.95,382.25,391.1,2137006,BALRAMCHIN
2024-06-04 00:00:00+05:30,388.05,389.95,352.0,364.1,2372167,BALRAMCHIN
2024-06-05 00:00:00+05:30,365.5,392.0,362.0,390.85,2163762,BALRAMCHIN
2024-06-06 00:00:00+05:30,390.9,394.0,385.25,386.35,1003097,BALRAMCHIN
2024-06-07 00:00:00+05:30,390.9,407.4,386.75,400.4,4873537,BALRAMCHIN
2024-06-10 00:00:00+05:30,400.0,400.9,393.35,396.8,1660100,BALRAMCHIN
2024-06-11 00:00:00+05:30,398.0,407.0,396.25,405.4,3035231,BALRAMCHIN
2024-06-12 00:00:00+05:30,409.1,421.25,408.0,419.55,7960740,BALRAMCHIN
2024-06-13 00:00:00+05:30,426.0,441.4,420.0,439.15,10570550,BALRAMCHIN
2024-06-14 00:00:00+05:30,443.5,445.9,427.0,430.2,7418060,BALRAMCHIN
2024-06-18 00:00:00+05:30,431.0,432.55,424.0,429.05,2046007,BALRAMCHIN
2024-06-19 00:00:00+05:30,431.25,444.4,422.2,440.85,6371818,BALRAMCHIN
2024-06-20 00:00:00+05:30,442.0,447.35,437.0,441.75,2805846,BALRAMCHIN
2024-06-21 00:00:00+05:30,442.0,455.85,436.25,443.4,4808428,BALRAMCHIN
2024-06-24 00:00:00+05:30,445.0,448.0,440.0,442.7,2080011,BALRAMCHIN
2024-06-25 00:00:00+05:30,445.45,448.35,440.05,440.7,2330181,BALRAMCHIN
2024-06-26 00:00:00+05:30,440.6,440.6,427.0,429.95,3781687,BALRAMCHIN
2024-06-27 00:00:00+05:30,430.9,433.2,423.45,428.9,1292205,BALRAMCHIN
2024-06-28 00:00:00+05:30,427.05,437.35,427.05,429.7,1531934,BALRAMCHIN
2024-07-01 00:00:00+05:30,435.0,438.3,432.15,434.2,940144,BALRAMCHIN
2024-07-02 00:00:00+05:30,435.0,443.9,427.0,435.65,1586222,BALRAMCHIN
2024-07-03 00:00:00+05:30,440.0,440.05,426.65,428.95,1130106,BALRAMCHIN
2024-07-04 00:00:00+05:30,430.05,435.0,426.85,427.6,1002901,BALRAMCHIN
2024-07-05 00:00:00+05:30,428.05,433.05,423.45,426.6,964581,BALRAMCHIN
2024-07-08 00:00:00+05:30,426.25,431.7,422.0,423.75,1102223,BALRAMCHIN
2024-07-09 00:00:00+05:30,424.7,441.6,424.0,431.25,3646938,BALRAMCHIN
2024-07-10 00:00:00+05:30,431.0,437.4,424.4,436.55,2652951,BALRAMCHIN
2024-07-11 00:00:00+05:30,436.3,447.8,436.3,445.05,3848797,BALRAMCHIN
2024-07-12 00:00:00+05:30,449.0,451.9,439.05,440.35,2588771,BALRAMCHIN
2024-07-15 00:00:00+05:30,441.0,447.3,440.0,444.5,1362173,BALRAMCHIN
2024-07-16 00:00:00+05:30,445.85,460.0,445.5,450.2,5234024,BALRAMCHIN
2024-07-18 00:00:00+05:30,449.5,453.95,446.8,449.7,1469762,BALRAMCHIN
2024-07-19 00:00:00+05:30,450.4,451.35,438.0,441.55,1458707,BALRAMCHIN
2024-07-22 00:00:00+05:30,437.0,449.25,434.4,444.5,1709359,BALRAMCHIN
2024-07-23 00:00:00+05:30,446.65,449.3,426.1,444.0,1730145,BALRAMCHIN
2024-07-24 00:00:00+05:30,442.0,456.95,441.95,452.55,1902600,BALRAMCHIN
2024-07-25 00:00:00+05:30,447.0,461.35,444.75,447.3,2354865,BALRAMCHIN
2024-07-26 00:00:00+05:30,445.5,465.0,445.5,461.3,2054033,BALRAMCHIN
2024-07-29 00:00:00+05:30,465.1,474.8,463.0,470.2,2880173,BALRAMCHIN
2024-07-30 00:00:00+05:30,470.0,485.95,468.2,480.4,2619945,BALRAMCHIN
2024-07-31 00:00:00+05:30,480.9,493.9,473.5,480.85,4076105,BALRAMCHIN
2024-08-01 00:00:00+05:30,484.0,489.85,474.3,484.35,2385649,BALRAMCHIN
2024-08-02 00:00:00+05:30,482.95,491.65,475.35,481.7,2985921,BALRAMCHIN
2024-08-05 00:00:00+05:30,478.0,481.05,468.05,473.7,2859168,BALRAMCHIN
2024-08-06 00:00:00+05:30,475.0,485.15,467.0,468.45,2988487,BALRAMCHIN
2024-08-07 00:00:00+05:30,474.9,493.8,471.9,492.15,2510690,BALRAMCHIN
2024-08-08 00:00:00+05:30,494.75,499.75,486.8,488.85,1713901,BALRAMCHIN
2024-08-09 00:00:00+05:30,491.0,498.0,488.25,491.0,1085532,BALRAMCHIN
2024-08-12 00:00:00+05:30,490.0,505.9,485.0,495.15,3884937,BALRAMCHIN
2024-08-13 00:00:00+05:30,505.0,523.0,495.5,511.4,9403901,BALRAMCHIN
2024-08-14 00:00:00+05:30,514.9,522.0,501.45,502.5,3023146,BALRAMCHIN
2024-08-16 00:00:00+05:30,511.0,525.9,502.1,522.55,3515856,BALRAMCHIN
2024-08-19 00:00:00+05:30,527.5,544.55,525.9,532.0,3876323,BALRAMCHIN
2024-08-20 00:00:00+05:30,535.0,578.2,535.0,570.85,8331451,BALRAMCHIN
2024-08-21 00:00:00+05:30,570.95,570.95,555.1,560.05,2837632,BALRAMCHIN
2024-08-22 00:00:00+05:30,563.0,585.4,557.0,579.15,3314048,BALRAMCHIN
2024-08-23 00:00:00+05:30,582.0,582.0,558.5,564.4,3003771,BALRAMCHIN
2024-08-26 00:00:00+05:30,564.4,577.0,559.5,564.1,1370915,BALRAMCHIN
2024-08-27 00:00:00+05:30,561.0,574.5,555.15,569.55,2337943,BALRAMCHIN
2024-08-28 00:00:00+05:30,570.0,590.95,569.4,587.4,4874097,BALRAMCHIN
2024-08-29 00:00:00+05:30,582.2,588.65,566.45,578.8,3749834,BALRAMCHIN
2024-08-30 00:00:00+05:30,597.15,625.0,595.05,598.65,15537762,BALRAMCHIN
2024-09-02 00:00:00+05:30,598.0,600.0,587.3,591.85,1903408,BALRAMCHIN
2024-09-03 00:00:00+05:30,591.85,594.05,584.5,587.65,771606,BALRAMCHIN
2024-09-04 00:00:00+05:30,583.3,605.35,579.25,587.1,2474848,BALRAMCHIN
2024-09-05 00:00:00+05:30,589.85,597.95,584.6,586.85,737719,BALRAMCHIN
2024-09-06 00:00:00+05:30,586.5,589.0,565.0,568.05,1679958,BALRAMCHIN
2024-09-09 00:00:00+05:30,565.0,578.4,552.8,555.55,1466566,BALRAMCHIN
2024-09-10 00:00:00+05:30,559.2,567.0,557.35,562.4,792290,BALRAMCHIN
2024-09-11 00:00:00+05:30,562.3,564.2,546.1,551.55,709680,BALRAMCHIN
2024-09-12 00:00:00+05:30,557.0,576.0,555.0,572.75,2197509,BALRAMCHIN
2024-09-13 00:00:00+05:30,572.45,574.0,556.0,557.3,947306,BALRAMCHIN
2024-09-16 00:00:00+05:30,565.35,575.4,562.5,568.75,1537588,BALRAMCHIN
