date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,581.6,599.0,576.0,592.6,93655,CENTENKA
2024-05-27 00:00:00+05:30,594.9,603.9,585.2,596.95,105548,CENTENKA
2024-05-28 00:00:00+05:30,597.0,605.95,587.55,597.9,97861,CENTENKA
2024-05-29 00:00:00+05:30,603.5,664.0,592.5,656.6,626256,CENTENKA
2024-05-30 00:00:00+05:30,660.9,663.0,615.1,619.2,139708,CENTENKA
2024-05-31 00:00:00+05:30,626.7,628.8,600.1,602.65,74956,CENTENKA
2024-06-03 00:00:00+05:30,625.0,626.9,605.5,610.1,95670,CENTENKA
2024-06-04 00:00:00+05:30,610.1,610.7,520.9,549.05,117634,CENTENKA
2024-06-05 00:00:00+05:30,549.0,595.9,536.0,593.1,80945,CENTENKA
2024-06-06 00:00:00+05:30,585.5,608.85,585.5,592.45,75208,CENTENKA
2024-06-07 00:00:00+05:30,595.8,605.3,590.25,596.05,45302,CENTENKA
2024-06-10 00:00:00+05:30,596.05,630.9,596.05,615.9,84232,CENTENKA
2024-06-11 00:00:00+05:30,616.0,639.95,616.0,630.35,72316,CENTENKA
2024-06-12 00:00:00+05:30,630.35,638.0,625.6,634.0,32325,CENTENKA
2024-06-13 00:00:00+05:30,636.0,666.0,634.95,641.8,135557,CENTENKA
2024-06-14 00:00:00+05:30,649.0,662.0,640.85,648.4,51455,CENTENKA
2024-06-18 00:00:00+05:30,651.0,656.2,622.15,623.45,42704,CENTENKA
2024-06-19 00:00:00+05:30,629.7,632.05,617.45,619.8,19859,CENTENKA
2024-06-20 00:00:00+05:30,620.0,647.9,619.8,638.1,54089,CENTENKA
2024-06-21 00:00:00+05:30,638.1,643.0,626.55,629.05,30780,CENTENKA
2024-06-24 00:00:00+05:30,598.0,629.0,594.55,611.3,140932,CENTENKA
2024-06-25 00:00:00+05:30,611.35,624.45,601.0,604.9,31844,CENTENKA
2024-06-26 00:00:00+05:30,610.95,611.4,600.25,603.85,15398,CENTENKA
2024-06-27 00:00:00+05:30,609.9,609.9,575.1,580.2,49897,CENTENKA
2024-06-28 00:00:00+05:30,588.7,588.7,576.45,577.95,25162,CENTENKA
2024-07-01 00:00:00+05:30,586.6,593.7,561.35,575.1,59246,CENTENKA
2024-07-02 00:00:00+05:30,581.0,603.35,575.25,599.65,74873,CENTENKA
2024-07-03 00:00:00+05:30,605.9,607.2,586.0,589.1,27347,CENTENKA
2024-07-04 00:00:00+05:30,586.05,622.9,582.0,609.3,94029,CENTENKA
2024-07-05 00:00:00+05:30,619.4,632.0,603.95,611.4,73661,CENTENKA
2024-07-08 00:00:00+05:30,618.0,618.05,578.5,583.55,96553,CENTENKA
2024-07-09 00:00:00+05:30,581.05,592.9,571.0,575.65,58279,CENTENKA
2024-07-10 00:00:00+05:30,577.0,581.85,556.0,569.3,52572,CENTENKA
2024-07-11 00:00:00+05:30,570.15,580.0,565.85,576.5,22801,CENTENKA
2024-07-12 00:00:00+05:30,576.5,581.8,568.2,571.6,29240,CENTENKA
