date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,138.82,144.55,136.88,140.77,9724463,CESC
2024-05-27 00:00:00+05:30,141.15,142.61,138.68,141.74,3540412,CESC
2024-05-28 00:00:00+05:30,142.37,143.19,136.93,137.66,2168130,CESC
2024-05-29 00:00:00+05:30,137.17,141.74,135.91,141.15,3420372,CESC
2024-05-30 00:00:00+05:30,141.74,141.74,137.46,138.68,4026617,CESC
2024-05-31 00:00:00+05:30,137.9,144.84,137.9,142.76,13595163,CESC
2024-06-03 00:00:00+05:30,149.11,151.15,144.65,147.76,8353049,CESC
2024-06-04 00:00:00+05:30,147.56,147.56,118.24,127.51,11628696,CESC
2024-06-05 00:00:00+05:30,128.63,133.87,125.28,132.08,7889462,CESC
2024-06-06 00:00:00+05:30,133.97,139.31,133.0,138.19,5948404,CESC
2024-06-07 00:00:00+05:30,138.82,143.68,137.03,142.71,3092904,CESC
2024-06-10 00:00:00+05:30,143.48,144.35,141.83,142.44,3438212,CESC
2024-06-11 00:00:00+05:30,143.68,144.11,141.35,143.45,4086646,CESC
2024-06-12 00:00:00+05:30,143.48,145.62,142.25,144.53,3105917,CESC
2024-06-13 00:00:00+05:30,145.86,146.35,143.39,145.74,3889263,CESC
2024-06-14 00:00:00+05:30,145.74,146.11,143.78,145.38,3785962,CESC
2024-06-18 00:00:00+05:30,146.88,150.67,145.62,146.82,4558146,CESC
2024-06-19 00:00:00+05:30,147.66,148.29,142.16,145.09,3725588,CESC
2024-06-20 00:00:00+05:30,145.33,146.88,143.58,145.7,2716556,CESC
2024-06-21 00:00:00+05:30,145.82,148.77,145.67,146.38,2975386,CESC
2024-06-24 00:00:00+05:30,145.78,150.47,145.28,147.63,5502704,CESC
2024-06-25 00:00:00+05:30,148.34,149.21,146.4,147.04,2786627,CESC
2024-06-26 00:00:00+05:30,147.46,165.04,147.04,163.07,63690072,CESC
2024-06-27 00:00:00+05:30,164.45,166.2,159.21,160.43,15995220,CESC
2024-06-28 00:00:00+05:30,160.18,162.51,156.83,157.85,5023035,CESC
2024-07-01 00:00:00+05:30,156.84,159.11,154.85,156.73,4875762,CESC
2024-07-02 00:00:00+05:30,157.27,158.82,152.91,153.94,3119639,CESC
2024-07-03 00:00:00+05:30,155.33,158.23,152.61,154.42,8915769,CESC
2024-07-04 00:00:00+05:30,155.34,155.97,152.29,154.4,3345297,CESC
2024-07-05 00:00:00+05:30,154.5,164.94,152.56,163.11,11901412,CESC
2024-07-08 00:00:00+05:30,164.65,173.58,164.06,167.04,14288074,CESC
2024-07-09 00:00:00+05:30,168.92,183.52,168.92,176.63,40013333,CESC
2024-07-10 00:00:00+05:30,178.04,183.0,173.82,180.63,18221608,CESC
2024-07-11 00:00:00+05:30,182.02,186.98,176.11,186.3,14706939,CESC
