date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,224.0,224.0,220.6,221.95,95868,CGCL
2024-05-27 00:00:00+05:30,221.95,224.9,218.9,221.75,138123,CGCL
2024-05-28 00:00:00+05:30,220.85,222.45,208.7,210.95,1215167,CGCL
2024-05-29 00:00:00+05:30,213.0,215.45,210.15,212.15,142578,CGCL
2024-05-30 00:00:00+05:30,212.85,212.85,208.65,211.0,468950,CGCL
2024-05-31 00:00:00+05:30,211.0,212.9,209.65,211.65,105938,CGCL
2024-06-03 00:00:00+05:30,217.0,229.8,211.55,223.55,1561233,CGCL
2024-06-04 00:00:00+05:30,220.0,223.1,197.7,209.65,237673,CGCL
2024-06-05 00:00:00+05:30,210.8,218.5,201.95,214.55,205501,CGCL
2024-06-06 00:00:00+05:30,213.0,218.85,213.0,214.55,103496,CGCL
2024-06-07 00:00:00+05:30,213.95,218.05,212.0,215.15,138935,CGCL
2024-06-10 00:00:00+05:30,218.0,218.05,213.8,214.56,108499,CGCL
2024-06-11 00:00:00+05:30,214.56,216.81,212.86,213.84,127552,CGCL
2024-06-12 00:00:00+05:30,213.0,217.55,212.81,213.44,136342,CGCL
2024-06-13 00:00:00+05:30,215.69,216.21,212.51,214.04,108891,CGCL
2024-06-14 00:00:00+05:30,214.55,226.9,213.01,224.2,679031,CGCL
2024-06-18 00:00:00+05:30,229.0,234.0,220.35,222.58,764646,CGCL
2024-06-19 00:00:00+05:30,223.94,226.61,218.14,219.24,205865,CGCL
2024-06-20 00:00:00+05:30,219.24,226.45,219.15,222.76,228510,CGCL
2024-06-21 00:00:00+05:30,222.7,225.56,218.42,220.25,417571,CGCL
2024-06-24 00:00:00+05:30,220.01,221.93,214.84,216.56,199681,CGCL
2024-06-25 00:00:00+05:30,224.95,236.25,213.05,214.5,3844238,CGCL
2024-06-26 00:00:00+05:30,215.9,217.85,212.5,212.92,356456,CGCL
2024-06-27 00:00:00+05:30,220.0,223.49,212.1,214.21,624161,CGCL
2024-06-28 00:00:00+05:30,217.5,218.93,212.12,215.21,402463,CGCL
2024-07-01 00:00:00+05:30,218.0,218.5,210.77,212.78,437392,CGCL
2024-07-02 00:00:00+05:30,217.0,217.7,212.18,214.62,217863,CGCL
2024-07-03 00:00:00+05:30,216.0,216.52,212.8,213.82,184197,CGCL
2024-07-04 00:00:00+05:30,214.4,216.2,211.75,212.85,194535,CGCL
2024-07-05 00:00:00+05:30,213.0,214.26,211.5,211.93,159299,CGCL
