date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,426.0,432.5,420.25,426.4,298035,DBL
2024-05-27 00:00:00+05:30,427.0,429.35,420.0,421.05,245039,DBL
2024-05-28 00:00:00+05:30,421.75,424.0,407.55,409.45,388986,DBL
2024-05-29 00:00:00+05:30,409.0,413.2,402.15,405.9,301217,DBL
2024-05-30 00:00:00+05:30,405.0,411.2,402.0,404.75,213311,DBL
2024-05-31 00:00:00+05:30,407.0,413.9,403.0,405.9,1168268,DBL
2024-06-03 00:00:00+05:30,427.0,438.0,418.75,426.4,852733,DBL
2024-06-04 00:00:00+05:30,428.0,428.0,341.15,379.1,1078599,DBL
2024-06-05 00:00:00+05:30,385.25,410.0,371.3,402.85,616087,DBL
2024-06-06 00:00:00+05:30,409.2,436.0,407.5,428.05,803757,DBL
2024-06-07 00:00:00+05:30,428.05,445.6,426.0,437.1,825308,DBL
2024-06-10 00:00:00+05:30,448.0,477.45,446.0,454.5,1902409,DBL
2024-06-11 00:00:00+05:30,455.75,459.95,448.0,454.2,349359,DBL
2024-06-12 00:00:00+05:30,454.2,461.0,453.3,456.45,292555,DBL
2024-06-13 00:00:00+05:30,458.0,514.5,457.5,498.05,7768275,DBL
2024-06-14 00:00:00+05:30,498.0,509.4,493.0,499.8,1288194,DBL
2024-06-18 00:00:00+05:30,500.0,507.4,486.7,490.15,535502,DBL
2024-06-19 00:00:00+05:30,492.0,546.0,488.55,525.7,5779825,DBL
2024-06-20 00:00:00+05:30,524.9,556.4,516.5,549.0,2471757,DBL
2024-06-21 00:00:00+05:30,544.05,564.0,531.05,541.75,1496150,DBL
2024-06-24 00:00:00+05:30,526.0,559.5,526.0,547.85,1024536,DBL
2024-06-25 00:00:00+05:30,549.15,551.5,532.0,534.4,426380,DBL
2024-06-26 00:00:00+05:30,538.7,549.15,530.25,542.55,490212,DBL
2024-06-27 00:00:00+05:30,543.05,553.45,515.25,519.5,739328,DBL
2024-06-28 00:00:00+05:30,522.0,530.0,513.2,524.45,523191,DBL
2024-07-01 00:00:00+05:30,521.6,529.0,519.5,524.25,264673,DBL
2024-07-02 00:00:00+05:30,525.0,543.85,521.2,539.55,678339,DBL
2024-07-03 00:00:00+05:30,542.0,542.75,529.8,532.65,318410,DBL
2024-07-04 00:00:00+05:30,535.0,553.0,532.95,546.25,665817,DBL
2024-07-05 00:00:00+05:30,547.0,547.0,538.15,540.75,228359,DBL
2024-07-08 00:00:00+05:30,542.0,549.3,528.15,532.6,381541,DBL
2024-07-09 00:00:00+05:30,535.0,559.0,534.95,549.5,1355448,DBL
2024-07-10 00:00:00+05:30,553.0,556.6,517.35,535.1,537912,DBL
2024-07-11 00:00:00+05:30,535.85,538.95,531.45,534.8,256001,DBL
2024-07-12 00:00:00+05:30,540.0,550.5,530.8,534.8,499608,DBL
2024-07-15 00:00:00+05:30,536.2,539.25,525.0,530.3,215570,DBL
2024-07-16 00:00:00+05:30,530.1,535.45,526.5,531.85,292930,DBL
2024-07-18 00:00:00+05:30,535.85,542.0,520.2,523.2,345567,DBL
2024-07-19 00:00:00+05:30,523.5,524.6,505.0,507.6,242437,DBL
2024-07-22 00:00:00+05:30,500.0,525.95,497.15,523.65,310908,DBL
2024-07-23 00:00:00+05:30,528.5,528.5,475.0,508.7,767911,DBL
2024-07-24 00:00:00+05:30,508.0,529.85,505.4,522.7,417523,DBL
2024-07-25 00:00:00+05:30,520.0,524.95,511.85,516.05,160976,DBL
2024-07-26 00:00:00+05:30,519.0,536.4,515.2,518.0,459840,DBL
2024-07-29 00:00:00+05:30,522.9,524.15,512.05,514.1,289382,DBL
2024-07-30 00:00:00+05:30,515.0,527.45,512.0,515.95,379933,DBL
2024-07-31 00:00:00+05:30,517.95,528.95,515.1,518.05,199782,DBL
2024-08-01 00:00:00+05:30,522.0,523.6,502.4,506.25,221794,DBL
2024-08-02 00:00:00+05:30,499.5,520.0,493.25,514.9,365431,DBL
2024-08-05 00:00:00+05:30,507.85,523.95,500.7,503.0,587611,DBL
2024-08-06 00:00:00+05:30,512.3,517.15,504.15,506.25,263452,DBL
2024-08-07 00:00:00+05:30,508.0,550.0,508.0,545.85,1577217,DBL
2024-08-08 00:00:00+05:30,545.2,566.8,533.25,536.35,1232602,DBL
2024-08-09 00:00:00+05:30,542.0,548.45,535.9,540.0,249675,DBL
2024-08-12 00:00:00+05:30,543.2,560.0,533.5,556.8,699361,DBL
2024-08-13 00:00:00+05:30,559.0,584.15,536.1,542.05,2507986,DBL
2024-08-14 00:00:00+05:30,535.0,536.4,507.4,511.45,763370,DBL
2024-08-16 00:00:00+05:30,513.8,517.6,499.0,505.05,605249,DBL
2024-08-19 00:00:00+05:30,510.0,529.8,506.25,514.4,448246,DBL
2024-08-20 00:00:00+05:30,515.0,523.25,515.0,521.2,216597,DBL
2024-08-21 00:00:00+05:30,521.2,536.05,519.2,528.0,284277,DBL
