date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,40.8,41.65,40.2,40.55,26908239,HCC
2024-05-27 00:00:00+05:30,39.2,39.5,37.8,38.05,31902363,HCC
2024-05-28 00:00:00+05:30,38.3,38.4,36.65,36.95,16243329,HCC
2024-05-29 00:00:00+05:30,37.0,38.0,36.4,37.85,14507991,HCC
2024-05-30 00:00:00+05:30,37.75,38.0,36.35,36.7,10846484,HCC
2024-05-31 00:00:00+05:30,36.85,37.15,35.65,37.0,14829617,HCC
2024-06-03 00:00:00+05:30,39.65,39.7,38.0,38.6,29102632,HCC
2024-06-04 00:00:00+05:30,38.4,38.4,34.75,34.75,38305144,HCC
2024-06-05 00:00:00+05:30,34.25,35.35,31.3,35.05,43817143,HCC
2024-06-06 00:00:00+05:30,35.8,37.2,35.6,36.8,32545782,HCC
2024-06-07 00:00:00+05:30,37.5,38.7,37.0,38.35,35225357,HCC
2024-06-10 00:00:00+05:30,38.75,40.9,38.53,39.8,53534044,HCC
2024-06-11 00:00:00+05:30,41.1,47.6,41.1,47.06,273620461,HCC
2024-06-12 00:00:00+05:30,47.9,51.18,47.64,49.3,227736902,HCC
2024-06-13 00:00:00+05:30,50.0,50.3,48.1,48.86,85502871,HCC
2024-06-14 00:00:00+05:30,48.5,50.0,47.6,48.64,37300899,HCC
2024-06-18 00:00:00+05:30,49.1,50.8,48.51,48.68,33568277,HCC
2024-06-19 00:00:00+05:30,48.85,48.95,46.71,47.51,25301260,HCC
2024-06-20 00:00:00+05:30,47.75,51.87,47.5,49.94,85554370,HCC
2024-06-21 00:00:00+05:30,50.25,50.7,49.0,49.19,29241779,HCC
2024-06-24 00:00:00+05:30,49.0,51.85,48.5,50.41,41350718,HCC
2024-06-25 00:00:00+05:30,50.6,53.4,50.48,50.91,76232079,HCC
2024-06-26 00:00:00+05:30,51.15,51.4,50.01,50.6,29198034,HCC
2024-06-27 00:00:00+05:30,50.3,50.66,46.23,48.18,54093337,HCC
2024-06-28 00:00:00+05:30,48.2,48.95,47.25,47.66,23151143,HCC
2024-07-01 00:00:00+05:30,47.75,49.4,47.2,48.31,28952309,HCC
2024-07-02 00:00:00+05:30,48.5,48.5,46.4,46.91,22568844,HCC
2024-07-03 00:00:00+05:30,47.16,48.34,46.92,47.94,23224061,HCC
2024-07-04 00:00:00+05:30,48.15,48.89,47.65,47.81,21921656,HCC
2024-07-05 00:00:00+05:30,47.75,49.0,47.55,48.24,23935562,HCC
2024-07-08 00:00:00+05:30,48.55,50.2,48.25,48.72,41104297,HCC
2024-07-09 00:00:00+05:30,48.93,51.74,48.9,51.14,96077115,HCC
2024-07-10 00:00:00+05:30,51.95,53.1,48.7,51.84,125298800,HCC
2024-07-11 00:00:00+05:30,52.0,53.15,50.75,51.17,56517494,HCC
2024-07-12 00:00:00+05:30,51.44,52.43,50.0,50.24,37653288,HCC
2024-07-15 00:00:00+05:30,50.45,50.89,49.27,50.17,26569795,HCC
2024-07-16 00:00:00+05:30,50.2,51.75,49.8,49.98,28607449,HCC
