date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,740.0,760.0,728.0,742.65,2234866,HINDZINC
2024-05-27 00:00:00+05:30,746.0,749.7,700.0,706.9,2122125,HINDZINC
2024-05-28 00:00:00+05:30,714.0,746.0,703.0,716.3,3413004,HINDZINC
2024-05-29 00:00:00+05:30,719.9,732.0,706.9,711.8,1808030,HINDZINC
2024-05-30 00:00:00+05:30,707.0,714.8,660.0,666.5,2466965,HINDZINC
2024-05-31 00:00:00+05:30,678.8,706.55,675.25,687.25,2590960,HINDZINC
2024-06-03 00:00:00+05:30,740.0,740.0,695.0,696.4,1661075,HINDZINC
2024-06-04 00:00:00+05:30,692.75,693.75,626.8,639.35,1984752,HINDZINC
2024-06-05 00:00:00+05:30,639.0,687.0,596.8,676.85,1764071,HINDZINC
2024-06-06 00:00:00+05:30,681.95,703.5,675.0,687.8,1059101,HINDZINC
2024-06-07 00:00:00+05:30,691.9,699.7,683.0,688.15,872911,HINDZINC
2024-06-10 00:00:00+05:30,686.05,686.05,665.0,669.65,880093,HINDZINC
2024-06-11 00:00:00+05:30,672.4,716.0,672.0,696.55,1993799,HINDZINC
2024-06-12 00:00:00+05:30,700.0,703.35,679.55,688.25,769297,HINDZINC
2024-06-13 00:00:00+05:30,694.0,695.1,670.0,672.4,874207,HINDZINC
2024-06-14 00:00:00+05:30,675.9,676.4,659.55,661.9,1052979,HINDZINC
2024-06-18 00:00:00+05:30,664.0,666.0,644.4,645.75,982672,HINDZINC
2024-06-19 00:00:00+05:30,647.0,658.0,630.3,633.45,867046,HINDZINC
2024-06-20 00:00:00+05:30,635.4,673.95,634.6,647.55,2227735,HINDZINC
2024-06-21 00:00:00+05:30,652.3,684.0,642.0,664.55,2688586,HINDZINC
2024-06-24 00:00:00+05:30,662.1,666.8,650.55,659.5,626230,HINDZINC
2024-06-25 00:00:00+05:30,659.0,672.0,655.0,663.9,713278,HINDZINC
2024-06-26 00:00:00+05:30,664.8,664.8,648.0,650.0,492273,HINDZINC
2024-06-27 00:00:00+05:30,650.9,679.45,646.25,673.25,1332637,HINDZINC
2024-06-28 00:00:00+05:30,673.55,679.3,662.3,669.65,742344,HINDZINC
2024-07-01 00:00:00+05:30,670.0,673.0,650.0,656.75,1045453,HINDZINC
2024-07-02 00:00:00+05:30,659.9,659.9,650.0,652.5,435691,HINDZINC
2024-07-03 00:00:00+05:30,654.9,684.0,652.0,673.15,1488309,HINDZINC
2024-07-04 00:00:00+05:30,680.0,695.0,680.0,686.05,1496295,HINDZINC
2024-07-05 00:00:00+05:30,688.0,696.0,680.25,693.15,1137292,HINDZINC
2024-07-08 00:00:00+05:30,698.0,717.0,680.9,686.15,1463483,HINDZINC
2024-07-09 00:00:00+05:30,688.9,699.6,669.0,673.15,588087,HINDZINC
2024-07-10 00:00:00+05:30,677.55,677.55,651.0,659.2,545551,HINDZINC
2024-07-11 00:00:00+05:30,663.6,680.4,661.0,671.6,503106,HINDZINC
2024-07-12 00:00:00+05:30,679.95,684.0,660.0,664.65,536850,HINDZINC
2024-07-15 00:00:00+05:30,668.0,669.9,653.0,659.7,398746,HINDZINC
2024-07-16 00:00:00+05:30,660.5,663.45,655.0,662.1,396045,HINDZINC
2024-07-18 00:00:00+05:30,667.0,669.5,646.0,647.9,597374,HINDZINC
2024-07-19 00:00:00+05:30,647.95,654.55,635.0,641.75,488014,HINDZINC
2024-07-22 00:00:00+05:30,632.0,638.85,624.0,632.0,481431,HINDZINC
