date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,64.5,64.5,62.2,62.55,3755589,JISLJALEQS
2024-05-27 00:00:00+05:30,62.6,62.9,60.5,61.55,5293565,JISLJALEQS
2024-05-28 00:00:00+05:30,61.9,62.45,59.95,60.95,4930772,JISLJALEQS
2024-05-29 00:00:00+05:30,60.3,61.7,60.2,61.1,2553153,JISLJALEQS
2024-05-30 00:00:00+05:30,61.1,61.5,60.15,60.6,2509700,JISLJALEQS
2024-05-31 00:00:00+05:30,61.0,61.5,59.5,60.5,4319257,JISLJALEQS
2024-06-03 00:00:00+05:30,64.0,64.7,62.45,63.0,4389842,JISLJALEQS
2024-06-04 00:00:00+05:30,63.0,63.0,50.4,55.0,10796872,JISLJALEQS
2024-06-05 00:00:00+05:30,55.95,65.0,55.9,64.25,16341739,JISLJALEQS
2024-06-06 00:00:00+05:30,64.15,67.25,63.75,65.9,12689475,JISLJALEQS
2024-06-07 00:00:00+05:30,66.0,67.7,65.15,67.25,7635027,JISLJALEQS
2024-06-10 00:00:00+05:30,67.48,76.35,67.32,73.67,44736103,JISLJALEQS
2024-06-11 00:00:00+05:30,74.8,79.51,73.48,76.15,21389210,JISLJALEQS
2024-06-12 00:00:00+05:30,76.45,78.5,75.05,78.11,13281410,JISLJALEQS
2024-06-13 00:00:00+05:30,78.6,78.95,75.2,77.45,7213159,JISLJALEQS
2024-06-14 00:00:00+05:30,77.85,78.85,76.0,76.41,4877932,JISLJALEQS
2024-06-18 00:00:00+05:30,76.95,77.19,74.25,74.97,4148112,JISLJALEQS
2024-06-19 00:00:00+05:30,75.0,78.5,71.71,76.55,9441721,JISLJALEQS
2024-06-20 00:00:00+05:30,77.01,84.19,77.0,81.84,25968551,JISLJALEQS
2024-06-21 00:00:00+05:30,82.5,82.78,78.5,79.28,6865506,JISLJALEQS
2024-06-24 00:00:00+05:30,79.65,81.7,77.38,79.33,10559310,JISLJALEQS
2024-06-25 00:00:00+05:30,79.85,80.39,77.28,77.75,5005323,JISLJALEQS
2024-06-26 00:00:00+05:30,77.15,77.69,75.72,76.13,5731697,JISLJALEQS
2024-06-27 00:00:00+05:30,75.65,78.45,74.2,74.64,6601228,JISLJALEQS
