date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,24.63,24.63,23.25,23.34,3674277,JYOTISTRUC
2024-05-27 00:00:00+05:30,23.38,24.01,22.17,22.57,2971991,JYOTISTRUC
2024-05-28 00:00:00+05:30,22.71,23.69,22.44,22.8,1996881,JYOTISTRUC
2024-05-29 00:00:00+05:30,22.84,23.92,22.04,23.74,4161123,JYOTISTRUC
2024-05-30 00:00:00+05:30,24.9,24.9,23.74,23.92,7376316,JYOTISTRUC
2024-05-31 00:00:00+05:30,23.83,24.1,22.75,22.8,4266884,JYOTISTRUC
2024-06-03 00:00:00+05:30,23.92,23.92,22.48,23.43,5129874,JYOTISTRUC
2024-06-04 00:00:00+05:30,24.59,24.59,22.26,22.26,3779518,JYOTISTRUC
2024-06-05 00:00:00+05:30,21.14,22.57,21.14,21.59,3868573,JYOTISTRUC
2024-06-06 00:00:00+05:30,21.86,22.66,20.96,21.28,3668994,JYOTISTRUC
2024-06-07 00:00:00+05:30,21.28,22.31,20.87,22.31,2401491,JYOTISTRUC
2024-06-10 00:00:00+05:30,22.84,23.24,21.95,22.31,3025689,JYOTISTRUC
2024-06-11 00:00:00+05:30,22.39,23.01,21.95,22.47,2486843,JYOTISTRUC
2024-06-12 00:00:00+05:30,22.62,23.59,22.4,23.05,7005878,JYOTISTRUC
2024-06-13 00:00:00+05:30,23.07,23.37,22.53,22.89,2568546,JYOTISTRUC
2024-06-14 00:00:00+05:30,22.92,23.74,22.85,23.5,3572752,JYOTISTRUC
2024-06-18 00:00:00+05:30,24.01,24.67,23.16,24.66,10647561,JYOTISTRUC
2024-06-19 00:00:00+05:30,24.86,25.89,24.1,25.89,11581184,JYOTISTRUC
2024-06-20 00:00:00+05:30,27.18,27.18,26.03,26.67,17099288,JYOTISTRUC
2024-06-21 00:00:00+05:30,27.23,27.54,25.33,25.33,9261368,JYOTISTRUC
2024-06-24 00:00:00+05:30,26.59,26.6,24.7,25.1,18324352,JYOTISTRUC
2024-06-25 00:00:00+05:30,25.4,26.35,25.1,25.75,8635182,JYOTISTRUC
2024-06-26 00:00:00+05:30,26.06,26.51,25.32,25.75,6147639,JYOTISTRUC
2024-06-27 00:00:00+05:30,25.75,26.42,24.63,25.13,4561660,JYOTISTRUC
2024-06-28 00:00:00+05:30,24.72,25.31,24.33,24.64,2162397,JYOTISTRUC
2024-07-01 00:00:00+05:30,24.85,25.75,24.2,24.4,2760074,JYOTISTRUC
2024-07-02 00:00:00+05:30,24.72,24.8,23.63,24.1,2969200,JYOTISTRUC
2024-07-03 00:00:00+05:30,24.18,24.44,23.42,23.75,3025552,JYOTISTRUC
2024-07-04 00:00:00+05:30,23.92,24.93,23.53,24.87,3355557,JYOTISTRUC
2024-07-05 00:00:00+05:30,25.03,25.04,23.9,24.11,2680133,JYOTISTRUC
2024-07-08 00:00:00+05:30,24.19,24.46,23.29,23.39,2331345,JYOTISTRUC
2024-07-09 00:00:00+05:30,23.3,23.81,22.95,23.25,2428224,JYOTISTRUC
2024-07-10 00:00:00+05:30,23.2,23.38,22.09,22.56,2620821,JYOTISTRUC
2024-07-11 00:00:00+05:30,22.56,23.68,22.22,23.68,2534536,JYOTISTRUC
2024-07-12 00:00:00+05:30,24.14,24.59,23.29,23.34,2906394,JYOTISTRUC
2024-07-15 00:00:00+05:30,23.34,23.73,22.96,23.09,1525283,JYOTISTRUC
