date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,137.85,140.8,136.55,140.15,30529750,MOTHERSON
2024-05-27 00:00:00+05:30,141.0,145.7,139.9,143.7,28307034,MOTHERSON
2024-05-28 00:00:00+05:30,144.75,144.75,139.8,142.0,12791242,MOTHERSON
2024-05-29 00:00:00+05:30,141.85,148.95,139.95,147.7,43408192,MOTHERSON
2024-05-30 00:00:00+05:30,149.8,152.65,142.3,151.7,111136536,MOTHERSON
2024-05-31 00:00:00+05:30,154.45,156.95,150.0,151.25,74205447,MOTHERSON
2024-06-03 00:00:00+05:30,159.7,159.7,149.0,149.45,31432107,MOTHERSON
2024-06-04 00:00:00+05:30,150.95,150.95,134.5,142.15,50141961,MOTHERSON
2024-06-05 00:00:00+05:30,142.5,153.0,142.0,152.05,31861778,MOTHERSON
2024-06-06 00:00:00+05:30,153.5,155.2,149.5,152.45,31718779,MOTHERSON
2024-06-07 00:00:00+05:30,152.95,158.0,151.3,156.7,30695632,MOTHERSON
2024-06-10 00:00:00+05:30,159.0,165.49,157.95,164.58,48604636,MOTHERSON
2024-06-11 00:00:00+05:30,165.4,167.1,161.84,163.01,21366903,MOTHERSON
2024-06-12 00:00:00+05:30,163.5,166.45,162.91,165.87,21887882,MOTHERSON
2024-06-13 00:00:00+05:30,167.0,169.02,166.2,168.76,17681430,MOTHERSON
2024-06-14 00:00:00+05:30,169.35,176.1,167.82,174.62,26692447,MOTHERSON
2024-06-18 00:00:00+05:30,175.45,185.08,175.1,180.32,55563380,MOTHERSON
2024-06-19 00:00:00+05:30,181.2,184.49,176.91,182.3,48784725,MOTHERSON
2024-06-20 00:00:00+05:30,183.4,188.2,181.86,185.43,41065783,MOTHERSON
2024-06-21 00:00:00+05:30,186.0,189.3,183.31,187.72,33095037,MOTHERSON
2024-06-24 00:00:00+05:30,187.08,190.1,182.72,188.28,23911136,MOTHERSON
2024-06-25 00:00:00+05:30,188.55,194.58,188.36,192.89,35550296,MOTHERSON
2024-06-26 00:00:00+05:30,192.2,196.51,190.73,193.75,33502842,MOTHERSON
