date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,18.95,19.25,18.55,18.6,3767350,MOTISONS
2024-05-27 00:00:00+05:30,18.9,19.55,18.1,18.95,9746690,MOTISONS
2024-05-28 00:00:00+05:30,18.45,19.0,18.05,18.5,6001250,MOTISONS
2024-05-29 00:00:00+05:30,18.5,18.8,18.0,18.15,2668940,MOTISONS
2024-05-30 00:00:00+05:30,18.15,18.15,17.3,17.4,2499930,MOTISONS
2024-05-31 00:00:00+05:30,17.75,17.75,17.0,17.1,1989560,MOTISONS
2024-06-03 00:00:00+05:30,17.85,17.85,17.15,17.25,1876760,MOTISONS
2024-06-04 00:00:00+05:30,17.1,17.1,16.4,16.4,1961530,MOTISONS
2024-06-05 00:00:00+05:30,16.4,16.8,15.7,16.45,1893810,MOTISONS
2024-06-06 00:00:00+05:30,16.75,17.25,16.45,17.05,1962450,MOTISONS
2024-06-07 00:00:00+05:30,17.8,17.95,17.2,17.7,3103180,MOTISONS
2024-06-10 00:00:00+05:30,17.9,18.3,17.6,17.8,2847660,MOTISONS
2024-06-11 00:00:00+05:30,17.7,18.05,17.35,17.45,2455630,MOTISONS
2024-06-12 00:00:00+05:30,17.45,17.9,17.4,17.6,2525270,MOTISONS
2024-06-13 00:00:00+05:30,17.6,17.9,17.1,17.45,1469350,MOTISONS
2024-06-14 00:00:00+05:30,17.5,17.65,17.1,17.2,7266040,MOTISONS
2024-06-18 00:00:00+05:30,17.2,18.8,17.2,18.45,27606480,MOTISONS
2024-06-19 00:00:00+05:30,18.5,18.7,16.95,17.25,19040270,MOTISONS
2024-06-20 00:00:00+05:30,17.4,17.4,16.5,16.55,13635150,MOTISONS
2024-06-21 00:00:00+05:30,16.8,17.2,16.7,17.1,10090700,MOTISONS
2024-06-24 00:00:00+05:30,17.2,17.2,16.8,16.85,2495660,MOTISONS
2024-06-25 00:00:00+05:30,16.85,17.05,15.9,16.45,3315320,MOTISONS
2024-06-26 00:00:00+05:30,16.4,17.0,16.4,16.5,3467270,MOTISONS
2024-06-27 00:00:00+05:30,16.5,16.6,16.3,16.45,2166790,MOTISONS
2024-06-28 00:00:00+05:30,16.45,16.75,16.45,16.5,1921810,MOTISONS
2024-07-01 00:00:00+05:30,15.3,16.4,15.3,16.15,7162740,MOTISONS
2024-07-02 00:00:00+05:30,16.4,16.4,15.7,16.0,3193470,MOTISONS
2024-07-03 00:00:00+05:30,16.2,16.2,15.8,16.0,2464600,MOTISONS
2024-07-04 00:00:00+05:30,15.9,16.15,15.45,15.55,6359930,MOTISONS
2024-07-05 00:00:00+05:30,15.6,15.8,15.5,15.6,4263460,MOTISONS
2024-07-08 00:00:00+05:30,15.8,16.0,15.45,15.5,4075030,MOTISONS
2024-07-09 00:00:00+05:30,15.65,15.75,15.5,15.65,2554130,MOTISONS
2024-07-10 00:00:00+05:30,15.65,15.75,15.0,15.2,3364780,MOTISONS
2024-07-11 00:00:00+05:30,15.4,15.6,15.3,15.4,2282370,MOTISONS
2024-07-12 00:00:00+05:30,15.5,15.55,15.2,15.25,2114140,MOTISONS
2024-07-15 00:00:00+05:30,15.25,15.45,15.2,15.25,1618260,MOTISONS
2024-07-16 00:00:00+05:30,15.3,15.6,15.3,15.5,1702760,MOTISONS
2024-07-18 00:00:00+05:30,15.5,15.6,15.2,15.25,1586910,MOTISONS
2024-07-19 00:00:00+05:30,15.1,15.3,14.85,15.1,2929290,MOTISONS
2024-07-22 00:00:00+05:30,14.8,15.1,14.55,14.7,2380170,MOTISONS
2024-07-23 00:00:00+05:30,14.8,15.7,14.05,15.45,9469720,MOTISONS
2024-07-24 00:00:00+05:30,15.65,16.6,15.55,16.3,13137110,MOTISONS
2024-07-25 00:00:00+05:30,16.25,16.25,15.65,15.8,3488090,MOTISONS
2024-07-26 00:00:00+05:30,15.9,16.1,15.6,15.65,3063620,MOTISONS
2024-07-29 00:00:00+05:30,15.75,15.9,15.4,15.55,4213530,MOTISONS
2024-07-30 00:00:00+05:30,15.6,15.8,15.45,15.6,2330340,MOTISONS
2024-07-31 00:00:00+05:30,15.8,15.8,15.2,15.25,3111180,MOTISONS
2024-08-01 00:00:00+05:30,15.6,15.6,15.15,15.2,2463090,MOTISONS
2024-08-02 00:00:00+05:30,15.2,15.3,14.9,15.1,2881000,MOTISONS
2024-08-05 00:00:00+05:30,15.0,15.0,14.2,14.3,3036990,MOTISONS
2024-08-06 00:00:00+05:30,14.4,14.95,14.0,14.15,2064190,MOTISONS
2024-08-07 00:00:00+05:30,14.6,17.0,14.35,17.0,48357170,MOTISONS
2024-08-08 00:00:00+05:30,17.0,17.5,16.4,17.2,28156350,MOTISONS
2024-08-09 00:00:00+05:30,17.0,17.5,16.9,17.1,17331030,MOTISONS
2024-08-12 00:00:00+05:30,17.2,17.4,16.7,16.8,7710390,MOTISONS
2024-08-13 00:00:00+05:30,16.85,17.15,16.55,16.95,7480390,MOTISONS
2024-08-14 00:00:00+05:30,17.1,17.1,16.6,16.9,4089960,MOTISONS
2024-08-16 00:00:00+05:30,17.0,18.4,16.9,17.85,24769430,MOTISONS
2024-08-19 00:00:00+05:30,17.9,18.75,17.9,18.55,18205940,MOTISONS
2024-08-20 00:00:00+05:30,18.65,19.2,18.25,18.8,16576390,MOTISONS
2024-08-21 00:00:00+05:30,18.9,19.2,18.65,18.9,8574780,MOTISONS
2024-08-22 00:00:00+05:30,19.0,19.4,18.9,19.0,11183940,MOTISONS
2024-08-23 00:00:00+05:30,19.05,19.4,18.35,18.7,9668450,MOTISONS
2024-08-26 00:00:00+05:30,18.85,19.4,18.5,18.75,14124400,MOTISONS
2024-08-27 00:00:00+05:30,18.9,18.9,18.5,18.6,4481900,MOTISONS
2024-08-28 00:00:00+05:30,18.7,18.85,18.2,18.3,4510330,MOTISONS
2024-08-29 00:00:00+05:30,18.2,18.35,17.5,17.6,5464410,MOTISONS
2024-08-30 00:00:00+05:30,17.75,17.95,17.35,17.5,4643680,MOTISONS
2024-09-02 00:00:00+05:30,17.55,19.1,17.55,18.55,15916050,MOTISONS
2024-09-03 00:00:00+05:30,18.65,18.7,17.9,18.05,6323950,MOTISONS
2024-09-04 00:00:00+05:30,17.95,18.7,17.8,18.45,9616890,MOTISONS
2024-09-05 00:00:00+05:30,18.65,20.2,18.5,19.85,51445060,MOTISONS
2024-09-06 00:00:00+05:30,20.45,20.55,19.4,19.6,49475240,MOTISONS
2024-09-09 00:00:00+05:30,19.65,22.35,18.95,22.0,120467120,MOTISONS
2024-09-10 00:00:00+05:30,22.1,24.2,21.7,23.9,98360360,MOTISONS
2024-09-11 00:00:00+05:30,23.7,25.0,22.9,23.45,96908860,MOTISONS
2024-09-12 00:00:00+05:30,23.1,25.4,23.1,25.0,54607810,MOTISONS
2024-09-13 00:00:00+05:30,25.1,27.4,25.0,26.95,72623060,MOTISONS
2024-09-16 00:00:00+05:30,27.2,27.3,25.5,26.1,34707900,MOTISONS
2024-09-17 00:00:00+05:30,26.25,26.85,24.4,25.7,26097760,MOTISONS
2024-09-18 00:00:00+05:30,25.7,28.8,25.5,27.9,51212230,MOTISONS
2024-09-19 00:00:00+05:30,28.1,28.6,26.6,27.65,36743810,MOTISONS
2024-09-20 00:00:00+05:30,27.75,29.4,27.1,28.75,34204890,MOTISONS
2024-09-23 00:00:00+05:30,29.0,31.65,28.95,31.3,65076450,MOTISONS
2024-09-24 00:00:00+05:30,31.5,32.3,29.5,30.0,50731540,MOTISONS
2024-09-25 00:00:00+05:30,30.1,30.3,28.4,29.0,25705510,MOTISONS
2024-09-26 00:00:00+05:30,29.1,31.4,27.9,30.45,37413620,MOTISONS
2024-09-27 00:00:00+05:30,30.7,31.9,30.2,30.9,28986640,MOTISONS
2024-09-30 00:00:00+05:30,30.8,31.5,29.6,31.05,20738750,MOTISONS
2024-10-01 00:00:00+05:30,31.0,33.0,30.95,31.7,38293710,MOTISONS
2024-10-03 00:00:00+05:30,31.2,32.0,30.45,30.95,16781220,MOTISONS
2024-10-04 00:00:00+05:30,31.1,31.55,29.8,30.0,14413790,MOTISONS
2024-10-07 00:00:00+05:30,30.1,30.7,28.2,28.65,17937870,MOTISONS
2024-10-08 00:00:00+05:30,27.2,30.1,27.2,30.05,4133710,MOTISONS
2024-10-09 00:00:00+05:30,30.6,31.0,29.4,29.6,4974450,MOTISONS
2024-10-10 00:00:00+05:30,29.9,30.4,29.6,29.65,3312850,MOTISONS
2024-10-11 00:00:00+05:30,29.85,29.9,29.0,29.2,1538130,MOTISONS
2024-10-14 00:00:00+05:30,29.55,29.9,28.9,29.4,2103800,MOTISONS
