date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,187.65,191.91,187.16,189.11,15225962,NATIONALUM
2024-05-27 00:00:00+05:30,190.44,192.1,186.37,190.29,17590858,NATIONALUM
2024-05-28 00:00:00+05:30,196.36,201.99,185.54,187.4,76307148,NATIONALUM
2024-05-29 00:00:00+05:30,187.99,196.02,186.57,190.68,35895866,NATIONALUM
2024-05-30 00:00:00+05:30,190.44,191.61,184.76,185.54,22499127,NATIONALUM
2024-05-31 00:00:00+05:30,186.86,189.65,183.09,187.65,22219016,NATIONALUM
2024-06-03 00:00:00+05:30,197.0,197.39,190.73,192.1,24424876,NATIONALUM
2024-06-04 00:00:00+05:30,190.93,190.93,144.08,155.24,68754834,NATIONALUM
2024-06-05 00:00:00+05:30,160.97,175.65,150.39,172.47,37758288,NATIONALUM
2024-06-06 00:00:00+05:30,173.99,181.13,172.71,176.83,31403131,NATIONALUM
2024-06-07 00:00:00+05:30,176.83,181.92,174.18,181.43,14932581,NATIONALUM
2024-06-10 00:00:00+05:30,181.13,181.18,178.38,179.58,14575331,NATIONALUM
2024-06-11 00:00:00+05:30,179.47,183.2,177.76,179.34,16050502,NATIONALUM
2024-06-12 00:00:00+05:30,179.67,183.75,179.53,181.15,11476435,NATIONALUM
2024-06-13 00:00:00+05:30,181.82,183.63,180.17,182.66,9905480,NATIONALUM
2024-06-14 00:00:00+05:30,185.21,191.12,184.71,187.9,31594777,NATIONALUM
2024-06-18 00:00:00+05:30,188.36,188.72,183.55,184.2,11487387,NATIONALUM
2024-06-19 00:00:00+05:30,185.17,185.24,179.79,181.02,10210946,NATIONALUM
2024-06-20 00:00:00+05:30,181.13,188.76,179.39,187.29,15825419,NATIONALUM
2024-06-21 00:00:00+05:30,188.32,192.64,187.01,189.93,19726412,NATIONALUM
2024-06-24 00:00:00+05:30,188.38,188.38,181.09,186.01,17724341,NATIONALUM
2024-06-25 00:00:00+05:30,186.85,188.23,182.11,184.53,10947092,NATIONALUM
2024-06-26 00:00:00+05:30,184.04,184.8,181.68,183.0,11007493,NATIONALUM
2024-06-27 00:00:00+05:30,181.04,183.83,176.98,181.23,17320455,NATIONALUM
2024-06-28 00:00:00+05:30,182.07,185.05,180.82,183.2,11324296,NATIONALUM
2024-07-01 00:00:00+05:30,184.27,188.28,183.49,187.32,12393036,NATIONALUM
2024-07-02 00:00:00+05:30,188.28,191.42,185.27,188.7,13857919,NATIONALUM
2024-07-03 00:00:00+05:30,189.46,190.29,187.69,189.69,6941714,NATIONALUM
2024-07-04 00:00:00+05:30,191.71,193.86,189.8,190.51,11398241,NATIONALUM
2024-07-05 00:00:00+05:30,190.93,195.43,189.64,194.86,15659265,NATIONALUM
2024-07-08 00:00:00+05:30,195.63,203.16,194.48,202.0,25666049,NATIONALUM
2024-07-09 00:00:00+05:30,204.63,204.63,197.51,199.67,17938039,NATIONALUM
2024-07-10 00:00:00+05:30,199.74,199.74,188.18,195.3,18248253,NATIONALUM
2024-07-11 00:00:00+05:30,197.05,197.65,194.06,194.74,7758710,NATIONALUM
2024-07-12 00:00:00+05:30,194.94,197.41,191.43,193.43,8317603,NATIONALUM
2024-07-15 00:00:00+05:30,193.86,197.0,190.69,194.52,11190366,NATIONALUM
2024-07-16 00:00:00+05:30,194.52,198.93,194.02,195.66,11981776,NATIONALUM
2024-07-18 00:00:00+05:30,194.89,194.89,187.5,188.23,21079938,NATIONALUM
2024-07-19 00:00:00+05:30,187.21,187.4,179.95,182.44,20219477,NATIONALUM
2024-07-22 00:00:00+05:30,180.55,189.46,178.59,186.76,9896235,NATIONALUM
2024-07-23 00:00:00+05:30,186.76,187.65,171.05,181.3,23709020,NATIONALUM
2024-07-24 00:00:00+05:30,180.69,184.71,179.97,182.67,7595378,NATIONALUM
2024-07-25 00:00:00+05:30,179.23,181.24,177.56,180.27,9655910,NATIONALUM
2024-07-26 00:00:00+05:30,180.3,187.29,180.3,185.54,12687240,NATIONALUM
2024-07-29 00:00:00+05:30,186.96,189.56,185.26,187.68,8776782,NATIONALUM
2024-07-30 00:00:00+05:30,187.4,188.38,185.13,187.4,6661812,NATIONALUM
2024-07-31 00:00:00+05:30,187.74,190.91,186.23,190.16,9376103,NATIONALUM
2024-08-01 00:00:00+05:30,192.2,196.21,186.66,188.74,20004888,NATIONALUM
2024-08-02 00:00:00+05:30,184.81,185.47,180.45,181.34,17401939,NATIONALUM
2024-08-05 00:00:00+05:30,175.26,175.63,167.74,169.33,19995798,NATIONALUM
2024-08-06 00:00:00+05:30,173.25,174.87,168.46,169.01,8916532,NATIONALUM
2024-08-07 00:00:00+05:30,173.79,176.63,171.25,175.59,8325532,NATIONALUM
2024-08-08 00:00:00+05:30,175.26,175.55,168.6,169.06,11198334,NATIONALUM
2024-08-09 00:00:00+05:30,172.23,174.77,169.43,173.55,16202798,NATIONALUM
2024-08-12 00:00:00+05:30,172.7,173.97,165.88,170.57,29881421,NATIONALUM
2024-08-13 00:00:00+05:30,171.83,172.23,165.54,166.33,9122615,NATIONALUM
2024-08-14 00:00:00+05:30,167.33,169.25,159.75,161.64,24290990,NATIONALUM
2024-08-16 00:00:00+05:30,165.47,167.61,160.91,161.68,23614094,NATIONALUM
2024-08-19 00:00:00+05:30,163.41,168.9,161.41,167.79,25264792,NATIONALUM
2024-08-20 00:00:00+05:30,170.94,171.05,164.73,168.47,30949105,NATIONALUM
2024-08-21 00:00:00+05:30,167.63,169.39,166.25,167.21,13131875,NATIONALUM
2024-08-22 00:00:00+05:30,168.11,168.9,166.45,167.77,8536586,NATIONALUM
2024-08-23 00:00:00+05:30,167.92,170.31,166.3,169.54,11953758,NATIONALUM
2024-08-26 00:00:00+05:30,172.86,178.64,171.66,178.18,31594107,NATIONALUM
2024-08-27 00:00:00+05:30,178.89,183.09,177.71,181.65,23051497,NATIONALUM
2024-08-28 00:00:00+05:30,181.73,182.84,178.98,180.7,10861210,NATIONALUM
2024-08-29 00:00:00+05:30,179.18,179.51,175.81,178.91,11547977,NATIONALUM
2024-08-30 00:00:00+05:30,179.57,181.08,178.2,178.79,14390618,NATIONALUM
2024-09-02 00:00:00+05:30,179.13,179.18,174.09,174.87,7938575,NATIONALUM
2024-09-03 00:00:00+05:30,174.92,176.62,174.18,174.94,4062489,NATIONALUM
2024-09-04 00:00:00+05:30,171.34,173.01,169.94,171.07,9456552,NATIONALUM
2024-09-05 00:00:00+05:30,172.06,174.48,172.06,172.61,5452882,NATIONALUM
2024-09-06 00:00:00+05:30,172.3,173.23,169.02,170.36,6610011,NATIONALUM
2024-09-09 00:00:00+05:30,168.9,169.06,164.51,167.57,8527287,NATIONALUM
2024-09-10 00:00:00+05:30,168.55,173.55,168.16,171.94,8620938,NATIONALUM
2024-09-11 00:00:00+05:30,171.92,172.51,167.13,167.86,5863573,NATIONALUM
2024-09-12 00:00:00+05:30,170.36,176.09,168.74,175.68,14251643,NATIONALUM
2024-09-13 00:00:00+05:30,176.81,181.53,176.44,178.54,14243419,NATIONALUM
2024-09-16 00:00:00+05:30,179.86,186.03,179.23,185.42,16079575,NATIONALUM
2024-09-17 00:00:00+05:30,185.83,187.49,182.26,182.87,10233517,NATIONALUM
2024-09-18 00:00:00+05:30,182.55,182.6,178.54,181.29,7871629,NATIONALUM
2024-09-19 00:00:00+05:30,183.09,183.53,172.58,178.39,15834259,NATIONALUM
2024-09-20 00:00:00+05:30,179.46,181.16,177.71,180.19,14292236,NATIONALUM
2024-09-23 00:00:00+05:30,179.37,179.71,176.07,176.47,13316875,NATIONALUM
2024-09-24 00:00:00+05:30,180.4,188.48,179.67,187.48,53129599,NATIONALUM
2024-09-25 00:00:00+05:30,191.42,195.43,189.12,191.12,40045015,NATIONALUM
2024-09-26 00:00:00+05:30,190.63,199.74,188.15,198.78,34188733,NATIONALUM
2024-09-27 00:00:00+05:30,201.21,207.96,200.96,202.71,43392390,NATIONALUM
2024-09-30 00:00:00+05:30,203.26,210.2,202.22,205.9,29872855,NATIONALUM
2024-10-01 00:00:00+05:30,210.02,222.64,208.35,219.55,70653372,NATIONALUM
2024-10-03 00:00:00+05:30,216.63,221.08,212.4,217.9,36035257,NATIONALUM
2024-10-04 00:00:00+05:30,216.38,217.85,209.34,215.75,19105863,NATIONALUM
2024-10-07 00:00:00+05:30,216.38,218.19,207.58,210.4,21019783,NATIONALUM
2024-10-08 00:00:00+05:30,206.59,211.34,195.82,208.34,23816065,NATIONALUM
2024-10-09 00:00:00+05:30,203.77,211.79,199.93,209.8,27903259,NATIONALUM
2024-10-10 00:00:00+05:30,210.7,215.53,207.08,208.28,11583219,NATIONALUM
2024-10-11 00:00:00+05:30,211.1,219.21,210.75,218.26,30278995,NATIONALUM
2024-10-14 00:00:00+05:30,220.3,227.59,219.82,221.83,33271618,NATIONALUM
2024-10-15 00:00:00+05:30,222.26,222.65,211.84,214.44,13483112,NATIONALUM
2024-10-16 00:00:00+05:30,213.45,216.62,211.29,212.77,15501988,NATIONALUM
2024-10-17 00:00:00+05:30,218.35,224.89,218.35,220.47,49129394,NATIONALUM
2024-10-18 00:00:00+05:30,219.32,227.94,214.13,227.27,29937444,NATIONALUM
