date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,99.33,99.9,96.17,97.17,18609378,NBCC
2024-05-27 00:00:00+05:30,97.67,99.2,95.7,96.7,16442554,NBCC
2024-05-28 00:00:00+05:30,97.17,97.27,91.4,92.53,19090448,NBCC
2024-05-29 00:00:00+05:30,96.0,97.2,93.8,94.83,44905830,NBCC
2024-05-30 00:00:00+05:30,95.07,95.43,90.87,91.57,19542036,NBCC
2024-05-31 00:00:00+05:30,92.37,95.33,90.0,94.93,28736523,NBCC
2024-06-03 00:00:00+05:30,103.33,104.0,98.0,100.43,53593824,NBCC
2024-06-04 00:00:00+05:30,100.43,100.43,90.4,90.4,47218298,NBCC
2024-06-05 00:00:00+05:30,90.33,90.37,81.37,86.7,64178450,NBCC
2024-06-06 00:00:00+05:30,91.17,94.0,90.33,92.7,34878309,NBCC
2024-06-07 00:00:00+05:30,93.67,96.67,91.73,96.07,28762384,NBCC
2024-06-10 00:00:00+05:30,96.9,97.0,94.33,95.31,24256314,NBCC
2024-06-11 00:00:00+05:30,98.94,106.33,98.83,104.39,175549022,NBCC
2024-06-12 00:00:00+05:30,105.33,107.33,103.37,105.11,74847428,NBCC
2024-06-13 00:00:00+05:30,105.99,106.27,103.07,103.46,37876414,NBCC
2024-06-14 00:00:00+05:30,104.0,108.47,101.67,106.31,82746902,NBCC
2024-06-18 00:00:00+05:30,107.0,109.43,104.87,105.46,42661994,NBCC
2024-06-19 00:00:00+05:30,106.53,108.47,102.44,107.39,57428613,NBCC
2024-06-20 00:00:00+05:30,107.83,111.33,106.37,108.91,79692765,NBCC
2024-06-21 00:00:00+05:30,109.4,115.33,109.33,110.71,75084194,NBCC
2024-06-24 00:00:00+05:30,110.0,111.47,107.5,108.67,34717533,NBCC
2024-06-25 00:00:00+05:30,109.23,110.27,105.84,106.52,22475595,NBCC
2024-06-26 00:00:00+05:30,106.53,108.33,105.0,105.41,22485080,NBCC
2024-06-27 00:00:00+05:30,105.67,108.67,103.33,105.46,31522904,NBCC
2024-06-28 00:00:00+05:30,106.0,106.43,103.73,104.64,16370133,NBCC
2024-07-01 00:00:00+05:30,104.65,106.99,103.87,104.4,18291987,NBCC
2024-07-02 00:00:00+05:30,104.87,108.8,104.21,108.19,41772646,NBCC
2024-07-03 00:00:00+05:30,109.0,113.61,107.53,112.69,83248330,NBCC
2024-07-04 00:00:00+05:30,114.35,126.6,113.81,124.45,216957328,NBCC
2024-07-05 00:00:00+05:30,125.05,129.33,122.61,125.74,117370178,NBCC
2024-07-08 00:00:00+05:30,126.34,131.33,123.47,127.49,73057750,NBCC
2024-07-09 00:00:00+05:30,128.1,132.2,124.4,126.45,55332308,NBCC
2024-07-10 00:00:00+05:30,126.8,127.8,119.47,125.01,39219686,NBCC
2024-07-11 00:00:00+05:30,125.33,130.33,124.07,129.27,73131990,NBCC
2024-07-12 00:00:00+05:30,129.53,131.33,125.93,126.53,46663893,NBCC
2024-07-15 00:00:00+05:30,127.0,127.73,124.2,125.39,26551347,NBCC
2024-07-16 00:00:00+05:30,125.6,129.27,123.33,123.71,41340081,NBCC
2024-07-18 00:00:00+05:30,123.71,124.33,117.6,119.05,31610346,NBCC
2024-07-19 00:00:00+05:30,117.53,120.96,114.0,114.57,37966545,NBCC
2024-07-22 00:00:00+05:30,113.33,124.5,112.5,123.33,65763506,NBCC
2024-07-23 00:00:00+05:30,123.97,124.53,100.1,118.17,92121924,NBCC
2024-07-24 00:00:00+05:30,117.93,122.6,116.92,120.76,33580444,NBCC
2024-07-25 00:00:00+05:30,118.79,121.33,116.0,116.9,29558314,NBCC
2024-07-26 00:00:00+05:30,117.53,119.92,115.55,116.35,35797536,NBCC
2024-07-29 00:00:00+05:30,117.0,125.87,115.89,125.07,77476035,NBCC
2024-07-30 00:00:00+05:30,125.07,126.89,122.73,123.05,38516814,NBCC
2024-07-31 00:00:00+05:30,123.5,124.27,120.21,120.81,22297161,NBCC
2024-08-01 00:00:00+05:30,121.8,123.53,118.87,119.66,24024548,NBCC
2024-08-02 00:00:00+05:30,117.67,122.33,116.21,121.2,30120447,NBCC
2024-08-05 00:00:00+05:30,115.87,117.49,111.11,111.91,41287010,NBCC
2024-08-06 00:00:00+05:30,113.33,116.57,108.67,109.19,26369235,NBCC
2024-08-07 00:00:00+05:30,112.5,115.0,110.15,114.2,21836148,NBCC
2024-08-08 00:00:00+05:30,114.22,115.6,112.11,112.71,17733897,NBCC
2024-08-09 00:00:00+05:30,113.65,125.6,113.03,123.19,145791906,NBCC
2024-08-12 00:00:00+05:30,122.64,125.77,120.73,121.19,59803599,NBCC
2024-08-13 00:00:00+05:30,121.89,122.3,114.76,115.54,34956404,NBCC
2024-08-14 00:00:00+05:30,117.0,119.27,115.5,115.75,41584089,NBCC
2024-08-16 00:00:00+05:30,117.67,123.49,115.61,121.86,35765364,NBCC
2024-08-19 00:00:00+05:30,122.43,128.9,121.81,123.11,84199500,NBCC
2024-08-20 00:00:00+05:30,123.79,126.46,121.33,122.61,38491776,NBCC
2024-08-21 00:00:00+05:30,122.47,123.05,120.27,121.18,19625559,NBCC
2024-08-22 00:00:00+05:30,121.67,123.79,120.29,121.26,24805288,NBCC
2024-08-23 00:00:00+05:30,121.47,122.63,118.4,118.79,17377598,NBCC
2024-08-26 00:00:00+05:30,120.07,120.53,117.05,117.33,14904096,NBCC
2024-08-27 00:00:00+05:30,117.79,119.53,117.44,118.43,12746906,NBCC
2024-08-28 00:00:00+05:30,124.73,139.83,124.13,130.47,446049436,NBCC
2024-08-29 00:00:00+05:30,131.33,137.12,128.83,129.88,174557769,NBCC
2024-08-30 00:00:00+05:30,130.97,132.27,123.47,124.25,95443672,NBCC
