date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,318.1,321.25,317.25,319.3,86489,NUVOCO
2024-05-27 00:00:00+05:30,317.3,320.2,314.0,316.1,135425,NUVOCO
2024-05-28 00:00:00+05:30,316.2,321.95,313.55,318.8,153310,NUVOCO
2024-05-29 00:00:00+05:30,320.8,321.05,313.95,315.35,121308,NUVOCO
2024-05-30 00:00:00+05:30,316.95,317.15,310.0,310.9,89591,NUVOCO
2024-05-31 00:00:00+05:30,313.05,315.45,310.0,314.45,138894,NUVOCO
2024-06-03 00:00:00+05:30,325.75,334.0,317.15,330.05,434686,NUVOCO
2024-06-04 00:00:00+05:30,320.0,325.0,299.0,308.25,431612,NUVOCO
2024-06-05 00:00:00+05:30,312.1,321.0,302.15,320.1,198050,NUVOCO
2024-06-06 00:00:00+05:30,320.6,348.2,320.25,331.15,600108,NUVOCO
2024-06-07 00:00:00+05:30,330.9,336.25,327.65,334.95,296284,NUVOCO
2024-06-10 00:00:00+05:30,340.0,344.15,335.05,342.55,533089,NUVOCO
2024-06-11 00:00:00+05:30,346.0,351.55,337.25,345.1,614022,NUVOCO
2024-06-12 00:00:00+05:30,348.4,348.9,341.9,346.6,249381,NUVOCO
2024-06-13 00:00:00+05:30,344.25,353.0,344.25,347.9,437277,NUVOCO
2024-06-14 00:00:00+05:30,350.9,374.9,348.0,366.05,2215843,NUVOCO
2024-06-18 00:00:00+05:30,367.35,367.7,355.2,357.3,340522,NUVOCO
2024-06-19 00:00:00+05:30,358.05,358.9,349.3,350.3,234278,NUVOCO
2024-06-20 00:00:00+05:30,350.45,355.2,347.2,352.15,220249,NUVOCO
2024-06-21 00:00:00+05:30,353.9,354.85,347.0,350.45,164795,NUVOCO
2024-06-24 00:00:00+05:30,346.95,355.5,344.95,352.25,187801,NUVOCO
2024-06-25 00:00:00+05:30,353.7,355.35,347.85,350.05,125609,NUVOCO
2024-06-26 00:00:00+05:30,351.9,370.45,347.3,356.85,996761,NUVOCO
2024-06-27 00:00:00+05:30,356.9,371.7,353.0,354.85,979425,NUVOCO
2024-06-28 00:00:00+05:30,358.0,367.2,352.5,363.05,651054,NUVOCO
2024-07-01 00:00:00+05:30,363.65,376.5,357.15,371.5,1486430,NUVOCO
2024-07-02 00:00:00+05:30,371.95,372.35,360.0,360.85,622590,NUVOCO
2024-07-03 00:00:00+05:30,363.1,368.1,355.0,356.6,462265,NUVOCO
2024-07-04 00:00:00+05:30,356.8,362.1,355.45,358.1,387999,NUVOCO
2024-07-05 00:00:00+05:30,358.0,373.7,352.8,372.95,1877131,NUVOCO
2024-07-08 00:00:00+05:30,372.95,376.0,360.85,362.4,458620,NUVOCO
