date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,277.2,279.1,275.1,276.45,11041667,ONGC
2024-05-27 00:00:00+05:30,277.2,277.4,269.1,271.0,13719808,ONGC
2024-05-28 00:00:00+05:30,272.6,272.6,266.5,267.75,6927361,ONGC
2024-05-29 00:00:00+05:30,267.25,267.25,263.8,265.35,8327205,ONGC
2024-05-30 00:00:00+05:30,266.45,268.5,258.65,260.3,15390964,ONGC
2024-05-31 00:00:00+05:30,262.0,262.0,256.7,258.0,24167379,ONGC
2024-06-03 00:00:00+05:30,271.3,279.7,266.65,277.3,30195397,ONGC
2024-06-04 00:00:00+05:30,278.2,278.2,217.65,230.65,72779900,ONGC
2024-06-05 00:00:00+05:30,241.1,243.75,224.95,241.6,37078551,ONGC
2024-06-06 00:00:00+05:30,247.9,253.3,243.3,246.25,30881233,ONGC
2024-06-07 00:00:00+05:30,247.45,254.55,245.75,254.15,22010688,ONGC
2024-06-10 00:00:00+05:30,257.7,257.7,251.85,252.95,14138524,ONGC
2024-06-11 00:00:00+05:30,260.45,268.4,258.9,267.0,47270206,ONGC
2024-06-12 00:00:00+05:30,271.35,272.4,268.05,268.9,20560662,ONGC
2024-06-13 00:00:00+05:30,271.35,271.35,266.0,269.95,16013386,ONGC
2024-06-14 00:00:00+05:30,270.35,271.55,268.05,268.8,10642648,ONGC
2024-06-18 00:00:00+05:30,272.25,272.3,267.45,269.2,17044769,ONGC
2024-06-19 00:00:00+05:30,269.3,270.0,264.6,265.05,13361607,ONGC
2024-06-20 00:00:00+05:30,265.3,267.45,262.65,265.35,12826509,ONGC
2024-06-21 00:00:00+05:30,264.95,268.15,262.45,263.2,17406416,ONGC
2024-06-24 00:00:00+05:30,263.2,264.75,260.2,263.45,7282347,ONGC
2024-06-25 00:00:00+05:30,263.65,264.3,258.65,260.6,14425434,ONGC
2024-06-26 00:00:00+05:30,260.5,262.7,257.8,261.35,10650910,ONGC
2024-06-27 00:00:00+05:30,261.0,261.7,257.2,261.1,22830930,ONGC
2024-06-28 00:00:00+05:30,262.55,268.85,261.95,267.65,19532912,ONGC
2024-07-01 00:00:00+05:30,268.4,269.2,265.1,266.4,11750972,ONGC
2024-07-02 00:00:00+05:30,266.65,273.1,265.0,268.25,24470518,ONGC
2024-07-03 00:00:00+05:30,269.4,271.05,267.45,268.1,9125400,ONGC
2024-07-04 00:00:00+05:30,268.4,272.2,266.5,270.4,13444669,ONGC
2024-07-05 00:00:00+05:30,270.6,282.35,269.9,281.3,39781962,ONGC
2024-07-08 00:00:00+05:30,283.05,295.75,280.45,292.0,53136198,ONGC
2024-07-09 00:00:00+05:30,293.6,294.6,286.35,290.35,18686252,ONGC
2024-07-10 00:00:00+05:30,292.55,292.6,281.95,291.0,19278800,ONGC
2024-07-11 00:00:00+05:30,292.8,299.85,288.1,297.45,36020507,ONGC
2024-07-12 00:00:00+05:30,299.45,304.3,296.9,299.75,31788101,ONGC
2024-07-15 00:00:00+05:30,304.35,315.9,301.25,314.8,51435537,ONGC
2024-07-16 00:00:00+05:30,315.85,319.75,312.1,314.95,37468292,ONGC
2024-07-18 00:00:00+05:30,317.3,325.3,313.95,323.75,48189915,ONGC
2024-07-19 00:00:00+05:30,325.05,325.2,310.45,312.0,26579496,ONGC
2024-07-22 00:00:00+05:30,312.35,315.6,306.95,313.1,22234557,ONGC
2024-07-23 00:00:00+05:30,312.4,313.7,290.3,306.65,37871058,ONGC
2024-07-24 00:00:00+05:30,305.55,317.95,304.65,311.9,28259305,ONGC
2024-07-25 00:00:00+05:30,310.45,329.45,308.55,327.75,42054664,ONGC
2024-07-26 00:00:00+05:30,328.45,330.4,322.2,323.65,25703985,ONGC
2024-07-29 00:00:00+05:30,325.8,331.4,322.85,324.95,26721790,ONGC
2024-07-30 00:00:00+05:30,324.05,330.15,323.1,323.95,19792253,ONGC
2024-07-31 00:00:00+05:30,324.1,329.35,321.85,326.2,21393361,ONGC
2024-08-01 00:00:00+05:30,329.7,336.45,329.1,333.55,36044960,ONGC
2024-08-02 00:00:00+05:30,329.9,329.9,320.8,322.2,22939377,ONGC
2024-08-05 00:00:00+05:30,312.7,315.55,298.65,302.8,37986023,ONGC
2024-08-06 00:00:00+05:30,307.25,314.75,297.85,298.75,28386636,ONGC
2024-08-07 00:00:00+05:30,304.9,323.05,304.55,321.2,66110716,ONGC
2024-08-08 00:00:00+05:30,321.1,321.1,314.0,315.0,23478224,ONGC
2024-08-09 00:00:00+05:30,325.95,327.8,320.35,324.6,29814474,ONGC
