date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,443.4,448.0,435.0,437.35,46830,PDSL
2024-05-27 00:00:00+05:30,437.35,451.5,432.1,445.0,105869,PDSL
2024-05-28 00:00:00+05:30,448.55,448.55,432.0,435.4,46907,PDSL
2024-05-29 00:00:00+05:30,435.4,438.75,428.05,429.3,23382,PDSL
2024-05-30 00:00:00+05:30,433.6,433.6,423.2,425.65,27625,PDSL
2024-05-31 00:00:00+05:30,425.65,431.4,411.0,413.25,67126,PDSL
2024-06-03 00:00:00+05:30,425.0,434.95,418.65,430.2,58330,PDSL
2024-06-04 00:00:00+05:30,425.05,432.3,394.7,402.9,127203,PDSL
2024-06-05 00:00:00+05:30,410.15,432.05,397.75,420.2,78824,PDSL
2024-06-06 00:00:00+05:30,420.2,429.4,416.1,422.15,41823,PDSL
2024-06-07 00:00:00+05:30,422.15,455.15,420.1,441.3,76642,PDSL
2024-06-10 00:00:00+05:30,447.7,462.1,447.65,455.25,78340,PDSL
2024-06-11 00:00:00+05:30,455.25,477.6,453.95,471.75,102072,PDSL
2024-06-12 00:00:00+05:30,473.45,537.9,472.0,506.95,798872,PDSL
2024-06-13 00:00:00+05:30,508.4,521.85,507.1,518.75,184356,PDSL
2024-06-14 00:00:00+05:30,519.0,530.0,510.25,523.6,116055,PDSL
2024-06-18 00:00:00+05:30,524.9,536.0,522.05,533.95,139540,PDSL
2024-06-19 00:00:00+05:30,533.05,536.05,519.0,531.45,72012,PDSL
2024-06-20 00:00:00+05:30,531.45,548.95,522.05,547.3,135685,PDSL
2024-06-21 00:00:00+05:30,554.9,566.0,536.6,539.3,92468,PDSL
2024-06-24 00:00:00+05:30,539.3,552.9,529.1,538.45,163033,PDSL
2024-06-25 00:00:00+05:30,545.7,550.9,531.05,538.9,128025,PDSL
2024-06-26 00:00:00+05:30,541.0,559.0,531.95,554.15,114515,PDSL
2024-06-27 00:00:00+05:30,555.0,560.0,543.0,548.85,85907,PDSL
2024-06-28 00:00:00+05:30,548.0,555.0,544.7,550.3,66557,PDSL
2024-07-01 00:00:00+05:30,553.0,569.85,545.0,553.8,94865,PDSL
2024-07-02 00:00:00+05:30,561.25,562.8,546.55,551.7,71193,PDSL
2024-07-03 00:00:00+05:30,553.3,555.0,545.05,548.7,30188,PDSL
2024-07-04 00:00:00+05:30,547.0,554.85,543.0,550.95,45979,PDSL
2024-07-05 00:00:00+05:30,552.6,552.75,532.05,538.25,63666,PDSL
2024-07-08 00:00:00+05:30,538.2,545.0,525.8,535.5,46082,PDSL
2024-07-09 00:00:00+05:30,531.0,540.0,526.05,529.25,58317,PDSL
2024-07-10 00:00:00+05:30,529.0,533.45,518.25,524.55,87608,PDSL
2024-07-11 00:00:00+05:30,520.25,538.65,518.0,520.65,99382,PDSL
2024-07-12 00:00:00+05:30,520.6,527.6,507.3,508.95,91270,PDSL
2024-07-15 00:00:00+05:30,516.35,522.65,500.1,512.8,76108,PDSL
2024-07-16 00:00:00+05:30,517.2,527.0,513.0,521.8,67378,PDSL
2024-07-18 00:00:00+05:30,528.85,539.7,520.0,520.3,78291,PDSL
2024-07-19 00:00:00+05:30,518.0,528.2,505.75,510.5,52868,PDSL
2024-07-22 00:00:00+05:30,503.0,520.0,499.85,515.95,70242,PDSL
2024-07-23 00:00:00+05:30,522.9,522.9,483.0,507.75,69371,PDSL
2024-07-24 00:00:00+05:30,510.0,535.0,507.65,530.6,45993,PDSL
2024-07-25 00:00:00+05:30,530.0,530.0,501.65,506.35,112551,PDSL
2024-07-26 00:00:00+05:30,513.0,568.25,507.55,554.2,372357,PDSL
2024-07-29 00:00:00+05:30,554.35,587.15,554.35,571.55,212754,PDSL
2024-07-30 00:00:00+05:30,571.55,574.8,549.55,562.35,372822,PDSL
2024-07-31 00:00:00+05:30,562.65,589.0,562.65,577.05,354921,PDSL
2024-08-01 00:00:00+05:30,578.9,597.95,571.45,586.7,340941,PDSL
2024-08-02 00:00:00+05:30,591.0,597.0,576.0,585.4,252891,PDSL
2024-08-05 00:00:00+05:30,573.0,581.0,547.4,569.45,245543,PDSL
2024-08-06 00:00:00+05:30,570.0,604.5,550.05,556.5,709161,PDSL
2024-08-07 00:00:00+05:30,573.0,584.8,555.05,558.95,132657,PDSL
2024-08-08 00:00:00+05:30,559.4,583.95,553.0,565.25,171270,PDSL
2024-08-09 00:00:00+05:30,565.05,572.5,557.0,559.8,92941,PDSL
2024-08-12 00:00:00+05:30,555.9,563.65,546.55,551.9,64089,PDSL
2024-08-13 00:00:00+05:30,545.8,558.95,539.55,545.6,87323,PDSL
2024-08-14 00:00:00+05:30,535.0,562.25,535.0,545.75,127834,PDSL
2024-08-16 00:00:00+05:30,553.9,568.0,551.0,561.55,66414,PDSL
2024-08-19 00:00:00+05:30,561.9,579.5,559.65,576.8,85025,PDSL
2024-08-20 00:00:00+05:30,579.0,583.0,571.55,577.65,69768,PDSL
2024-08-21 00:00:00+05:30,580.0,585.0,572.05,581.95,80913,PDSL
2024-08-22 00:00:00+05:30,582.2,594.65,573.0,581.25,53089,PDSL
2024-08-23 00:00:00+05:30,584.85,598.15,577.0,593.2,257832,PDSL
2024-08-26 00:00:00+05:30,593.0,604.0,580.35,591.15,116709,PDSL
2024-08-27 00:00:00+05:30,590.0,619.0,588.5,604.6,310510,PDSL
2024-08-28 00:00:00+05:30,609.5,620.8,582.35,587.25,198095,PDSL
2024-08-29 00:00:00+05:30,587.5,598.75,571.9,576.85,112093,PDSL
2024-08-30 00:00:00+05:30,576.0,588.4,542.0,546.95,894893,PDSL
2024-09-02 00:00:00+05:30,545.0,545.8,530.3,539.4,317369,PDSL
2024-09-03 00:00:00+05:30,539.4,552.85,532.45,543.8,127978,PDSL
2024-09-04 00:00:00+05:30,544.2,558.0,538.0,554.85,172016,PDSL
2024-09-05 00:00:00+05:30,555.95,556.35,540.1,542.75,58964,PDSL
2024-09-06 00:00:00+05:30,548.2,548.2,527.35,531.55,62361,PDSL
2024-09-09 00:00:00+05:30,526.5,542.5,518.8,535.8,144968,PDSL
2024-09-10 00:00:00+05:30,543.0,543.0,532.0,540.1,82063,PDSL
2024-09-11 00:00:00+05:30,545.0,547.5,536.1,542.15,102081,PDSL
2024-09-12 00:00:00+05:30,542.15,546.3,532.1,541.05,73349,PDSL
