date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,84.5,84.6,81.25,81.5,577285,RADIANTCMS
2024-05-27 00:00:00+05:30,81.55,82.0,79.0,79.55,248237,RADIANTCMS
2024-05-28 00:00:00+05:30,79.6,80.15,78.1,79.0,159837,RADIANTCMS
2024-05-29 00:00:00+05:30,78.15,79.45,78.15,78.75,67427,RADIANTCMS
2024-05-30 00:00:00+05:30,78.55,80.85,77.7,78.05,247280,RADIANTCMS
2024-05-31 00:00:00+05:30,79.0,79.0,76.9,77.0,242879,RADIANTCMS
2024-06-03 00:00:00+05:30,80.0,80.0,77.0,77.25,151441,RADIANTCMS
2024-06-04 00:00:00+05:30,77.25,77.9,71.1,75.1,250326,RADIANTCMS
2024-06-05 00:00:00+05:30,75.2,78.0,74.6,76.95,100996,RADIANTCMS
2024-06-06 00:00:00+05:30,76.5,78.5,76.5,77.55,91061,RADIANTCMS
2024-06-07 00:00:00+05:30,78.0,78.65,77.55,78.0,74700,RADIANTCMS
2024-06-10 00:00:00+05:30,78.1,79.71,78.1,78.96,126211,RADIANTCMS
2024-06-11 00:00:00+05:30,78.96,81.18,78.96,79.45,184900,RADIANTCMS
2024-06-12 00:00:00+05:30,80.16,82.49,78.5,80.29,291034,RADIANTCMS
2024-06-13 00:00:00+05:30,81.5,82.59,80.36,80.86,137841,RADIANTCMS
2024-06-14 00:00:00+05:30,82.05,82.7,80.61,81.82,196221,RADIANTCMS
2024-06-18 00:00:00+05:30,82.5,84.45,81.06,83.23,415670,RADIANTCMS
2024-06-19 00:00:00+05:30,84.5,84.5,81.81,82.04,180678,RADIANTCMS
2024-06-20 00:00:00+05:30,82.13,83.29,80.63,81.6,212386,RADIANTCMS
2024-06-21 00:00:00+05:30,81.65,82.18,80.49,81.26,103311,RADIANTCMS
2024-06-24 00:00:00+05:30,81.45,81.7,79.6,79.93,231585,RADIANTCMS
2024-06-25 00:00:00+05:30,80.0,81.05,79.2,80.22,105228,RADIANTCMS
2024-06-26 00:00:00+05:30,80.49,82.7,80.07,81.46,290070,RADIANTCMS
2024-06-27 00:00:00+05:30,81.4,81.54,78.91,79.28,125204,RADIANTCMS
2024-06-28 00:00:00+05:30,79.7,80.57,79.31,79.43,85629,RADIANTCMS
2024-07-01 00:00:00+05:30,79.35,80.75,79.35,80.2,140880,RADIANTCMS
2024-07-02 00:00:00+05:30,80.55,81.65,80.22,80.57,254890,RADIANTCMS
2024-07-03 00:00:00+05:30,80.95,81.19,79.59,79.93,131068,RADIANTCMS
2024-07-04 00:00:00+05:30,79.63,80.33,79.61,79.95,79655,RADIANTCMS
2024-07-05 00:00:00+05:30,80.0,80.5,79.5,79.98,151236,RADIANTCMS
2024-07-08 00:00:00+05:30,81.04,83.79,79.6,80.16,670619,RADIANTCMS
2024-07-09 00:00:00+05:30,80.76,84.0,80.6,83.37,567746,RADIANTCMS
2024-07-10 00:00:00+05:30,84.24,84.25,80.76,83.45,337863,RADIANTCMS
2024-07-11 00:00:00+05:30,84.2,86.4,83.0,83.46,462697,RADIANTCMS
2024-07-12 00:00:00+05:30,83.46,85.13,82.42,83.82,260418,RADIANTCMS
2024-07-15 00:00:00+05:30,84.9,84.9,81.55,81.94,217549,RADIANTCMS
2024-07-16 00:00:00+05:30,83.07,83.07,81.24,81.83,147263,RADIANTCMS
2024-07-18 00:00:00+05:30,81.1,82.18,80.8,81.01,141617,RADIANTCMS
2024-07-19 00:00:00+05:30,80.25,82.08,79.55,79.75,138479,RADIANTCMS
2024-07-22 00:00:00+05:30,79.75,80.85,78.7,79.67,200619,RADIANTCMS
2024-07-23 00:00:00+05:30,80.0,82.7,78.0,82.17,219172,RADIANTCMS
2024-07-24 00:00:00+05:30,82.75,85.0,81.46,83.33,621714,RADIANTCMS
2024-07-25 00:00:00+05:30,82.15,83.99,82.15,82.95,174467,RADIANTCMS
2024-07-26 00:00:00+05:30,82.5,84.45,80.9,82.55,280335,RADIANTCMS
2024-07-29 00:00:00+05:30,82.55,88.0,82.55,86.66,546907,RADIANTCMS
2024-07-30 00:00:00+05:30,87.95,89.4,85.5,86.86,490667,RADIANTCMS
2024-07-31 00:00:00+05:30,86.8,87.28,85.32,85.94,153038,RADIANTCMS
2024-08-01 00:00:00+05:30,86.3,91.5,85.65,85.95,1381346,RADIANTCMS
2024-08-02 00:00:00+05:30,85.45,86.74,84.55,84.92,292569,RADIANTCMS
2024-08-05 00:00:00+05:30,80.52,84.37,79.6,82.61,504149,RADIANTCMS
2024-08-06 00:00:00+05:30,83.9,86.32,82.5,84.38,339196,RADIANTCMS
2024-08-07 00:00:00+05:30,85.7,86.55,83.74,85.83,244829,RADIANTCMS
2024-08-08 00:00:00+05:30,85.6,85.99,82.46,82.73,110875,RADIANTCMS
2024-08-09 00:00:00+05:30,83.38,84.25,82.73,83.85,173495,RADIANTCMS
2024-08-12 00:00:00+05:30,82.57,83.9,82.22,82.45,91644,RADIANTCMS
2024-08-13 00:00:00+05:30,82.9,83.07,79.0,79.83,257893,RADIANTCMS
2024-08-14 00:00:00+05:30,80.3,82.49,79.01,79.44,131161,RADIANTCMS
2024-08-16 00:00:00+05:30,81.02,83.98,80.71,83.24,203148,RADIANTCMS
2024-08-19 00:00:00+05:30,84.7,84.75,83.5,84.03,135064,RADIANTCMS
2024-08-20 00:00:00+05:30,84.03,84.5,82.78,83.42,147424,RADIANTCMS
2024-08-21 00:00:00+05:30,84.0,87.12,83.86,85.97,377262,RADIANTCMS
2024-08-22 00:00:00+05:30,87.0,89.41,86.04,87.08,342666,RADIANTCMS
2024-08-23 00:00:00+05:30,88.0,88.8,87.01,87.81,257280,RADIANTCMS
2024-08-26 00:00:00+05:30,89.39,89.9,85.5,86.2,344173,RADIANTCMS
2024-08-27 00:00:00+05:30,87.05,87.35,86.1,86.89,281084,RADIANTCMS
2024-08-28 00:00:00+05:30,88.0,88.39,87.0,87.53,279096,RADIANTCMS
2024-08-29 00:00:00+05:30,86.25,86.25,83.12,83.64,459602,RADIANTCMS
2024-08-30 00:00:00+05:30,83.65,84.0,80.0,80.4,553076,RADIANTCMS
2024-09-02 00:00:00+05:30,81.0,83.38,80.5,81.39,316737,RADIANTCMS
2024-09-03 00:00:00+05:30,81.7,82.15,80.38,81.02,147143,RADIANTCMS
2024-09-04 00:00:00+05:30,82.0,82.12,80.3,80.5,210384,RADIANTCMS
2024-09-05 00:00:00+05:30,81.25,81.43,79.0,79.86,339182,RADIANTCMS
2024-09-06 00:00:00+05:30,80.57,81.05,78.75,80.21,188395,RADIANTCMS
2024-09-09 00:00:00+05:30,80.98,83.1,80.35,81.24,570657,RADIANTCMS
2024-09-10 00:00:00+05:30,82.0,83.17,80.92,81.93,223870,RADIANTCMS
2024-09-11 00:00:00+05:30,82.0,82.42,78.95,79.38,363429,RADIANTCMS
2024-09-12 00:00:00+05:30,79.38,80.5,79.38,79.91,122856,RADIANTCMS
2024-09-13 00:00:00+05:30,80.4,83.0,79.45,82.49,470892,RADIANTCMS
2024-09-16 00:00:00+05:30,83.0,88.37,82.5,84.25,2254618,RADIANTCMS
2024-09-17 00:00:00+05:30,85.0,85.25,82.49,82.77,229645,RADIANTCMS
2024-09-18 00:00:00+05:30,84.9,84.9,81.2,81.57,241297,RADIANTCMS
2024-09-19 00:00:00+05:30,82.45,83.41,79.58,80.12,588625,RADIANTCMS
2024-09-20 00:00:00+05:30,80.95,81.32,79.87,80.18,213785,RADIANTCMS
2024-09-23 00:00:00+05:30,81.45,82.43,79.66,79.85,563871,RADIANTCMS
2024-09-24 00:00:00+05:30,80.0,81.8,79.76,79.99,405199,RADIANTCMS
2024-09-25 00:00:00+05:30,80.35,81.0,79.21,79.73,329510,RADIANTCMS
2024-09-26 00:00:00+05:30,80.12,80.29,77.66,78.18,1012333,RADIANTCMS
2024-09-27 00:00:00+05:30,78.0,80.87,78.0,79.92,1500556,RADIANTCMS
2024-09-30 00:00:00+05:30,79.93,82.12,79.1,80.47,315418,RADIANTCMS
2024-10-01 00:00:00+05:30,80.86,81.99,80.46,81.4,141483,RADIANTCMS
2024-10-03 00:00:00+05:30,81.0,83.08,80.1,80.32,333614,RADIANTCMS
2024-10-04 00:00:00+05:30,81.45,81.51,79.06,80.21,208235,RADIANTCMS
2024-10-07 00:00:00+05:30,80.55,85.0,78.4,79.27,1016077,RADIANTCMS
2024-10-08 00:00:00+05:30,79.8,81.97,79.3,81.64,230876,RADIANTCMS
2024-10-09 00:00:00+05:30,82.0,82.48,79.64,79.97,362286,RADIANTCMS
2024-10-10 00:00:00+05:30,80.01,80.85,79.5,80.07,174965,RADIANTCMS
2024-10-11 00:00:00+05:30,80.42,80.79,79.2,79.62,117006,RADIANTCMS
2024-10-14 00:00:00+05:30,79.62,80.5,78.72,80.07,171233,RADIANTCMS
2024-10-15 00:00:00+05:30,80.8,81.82,79.81,81.21,219475,RADIANTCMS
2024-10-16 00:00:00+05:30,81.5,82.91,79.61,81.45,345336,RADIANTCMS
2024-10-17 00:00:00+05:30,81.0,81.97,79.96,80.07,93562,RADIANTCMS
2024-10-18 00:00:00+05:30,80.0,81.15,78.7,80.1,277533,RADIANTCMS
2024-10-21 00:00:00+05:30,80.98,81.25,79.6,80.92,299597,RADIANTCMS
2024-10-22 00:00:00+05:30,80.16,81.19,76.5,76.99,399423,RADIANTCMS
2024-10-23 00:00:00+05:30,77.0,78.0,75.5,75.98,284084,RADIANTCMS
2024-10-24 00:00:00+05:30,76.51,77.56,74.8,75.58,189991,RADIANTCMS
2024-10-25 00:00:00+05:30,76.13,76.9,72.01,73.91,291899,RADIANTCMS
2024-10-28 00:00:00+05:30,73.91,74.88,72.51,74.17,99292,RADIANTCMS
2024-10-29 00:00:00+05:30,74.17,74.71,73.0,74.12,88760,RADIANTCMS
2024-10-30 00:00:00+05:30,74.63,75.19,73.8,74.74,147599,RADIANTCMS
2024-10-31 00:00:00+05:30,75.29,77.18,74.43,76.37,107632,RADIANTCMS
2024-11-01 00:00:00+05:30,78.2,78.3,77.0,77.51,33493,RADIANTCMS
2024-11-04 00:00:00+05:30,77.52,77.9,75.5,76.47,60055,RADIANTCMS
2024-11-05 00:00:00+05:30,77.0,77.5,76.0,76.39,56349,RADIANTCMS
2024-11-06 00:00:00+05:30,76.75,78.07,76.11,77.51,88141,RADIANTCMS
2024-11-07 00:00:00+05:30,78.65,78.65,77.49,77.75,81590,RADIANTCMS
2024-11-08 00:00:00+05:30,78.2,78.2,76.31,76.8,88291,RADIANTCMS
2024-11-11 00:00:00+05:30,77.8,78.3,75.5,75.82,73267,RADIANTCMS
2024-11-12 00:00:00+05:30,76.72,77.3,74.0,74.98,96110,RADIANTCMS
