date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,26.3,27.3,26.15,26.6,23146605,RPOWER
2024-05-27 00:00:00+05:30,26.05,26.2,25.3,25.3,43927571,RPOWER
2024-05-28 00:00:00+05:30,25.25,25.5,24.5,24.95,19862818,RPOWER
2024-05-29 00:00:00+05:30,24.95,25.65,24.6,25.2,13254778,RPOWER
2024-05-30 00:00:00+05:30,25.3,25.3,24.6,24.7,11413532,RPOWER
2024-05-31 00:00:00+05:30,24.85,25.05,24.4,24.55,13944625,RPOWER
2024-06-03 00:00:00+05:30,25.75,25.75,25.2,25.75,26919726,RPOWER
2024-06-04 00:00:00+05:30,25.45,25.45,24.5,24.5,19131713,RPOWER
2024-06-05 00:00:00+05:30,23.3,23.95,23.3,23.5,42860301,RPOWER
2024-06-06 00:00:00+05:30,24.05,24.65,23.85,24.55,30501221,RPOWER
2024-06-07 00:00:00+05:30,24.95,25.55,24.5,25.0,22458559,RPOWER
2024-06-10 00:00:00+05:30,25.35,26.75,25.25,26.08,37086161,RPOWER
2024-06-11 00:00:00+05:30,27.99,28.68,27.15,28.68,140165379,RPOWER
2024-06-12 00:00:00+05:30,29.7,31.54,29.56,31.54,150557787,RPOWER
2024-06-13 00:00:00+05:30,33.0,33.11,30.56,31.08,199703725,RPOWER
2024-06-14 00:00:00+05:30,31.28,32.41,30.3,31.32,76469832,RPOWER
2024-06-18 00:00:00+05:30,32.05,32.3,30.86,30.96,43147340,RPOWER
2024-06-19 00:00:00+05:30,31.24,31.98,29.83,30.83,50994259,RPOWER
2024-06-20 00:00:00+05:30,30.82,31.71,30.5,30.64,32822472,RPOWER
2024-06-21 00:00:00+05:30,30.78,31.16,29.75,29.87,37995144,RPOWER
2024-06-24 00:00:00+05:30,29.8,30.41,29.4,29.7,26884108,RPOWER
2024-06-25 00:00:00+05:30,29.94,30.29,29.5,29.55,17356323,RPOWER
2024-06-26 00:00:00+05:30,29.51,29.79,29.24,29.28,17936077,RPOWER
2024-06-27 00:00:00+05:30,29.28,29.57,28.52,28.82,21336897,RPOWER
2024-06-28 00:00:00+05:30,29.05,30.26,28.77,28.93,36540632,RPOWER
2024-07-01 00:00:00+05:30,29.38,29.38,28.69,28.99,16119720,RPOWER
2024-07-02 00:00:00+05:30,29.1,29.25,28.55,28.71,13024490,RPOWER
2024-07-03 00:00:00+05:30,28.92,28.98,28.32,28.38,12523527,RPOWER
2024-07-04 00:00:00+05:30,28.44,28.79,28.02,28.11,16126472,RPOWER
2024-07-05 00:00:00+05:30,28.2,29.38,28.03,29.03,35956538,RPOWER
2024-07-08 00:00:00+05:30,29.22,29.3,28.11,28.33,18544762,RPOWER
2024-07-09 00:00:00+05:30,28.41,28.83,28.02,28.09,18680562,RPOWER
2024-07-10 00:00:00+05:30,28.23,28.27,26.9,27.55,18387825,RPOWER
2024-07-11 00:00:00+05:30,27.7,28.05,27.5,27.66,13346581,RPOWER
2024-07-12 00:00:00+05:30,27.81,27.88,27.25,27.32,12338785,RPOWER
2024-07-15 00:00:00+05:30,27.4,28.68,26.85,28.68,27514764,RPOWER
2024-07-16 00:00:00+05:30,29.19,29.53,28.35,28.49,24019184,RPOWER
2024-07-18 00:00:00+05:30,28.6,28.74,27.65,27.91,11883885,RPOWER
2024-07-19 00:00:00+05:30,27.9,27.9,27.0,27.12,16598630,RPOWER
2024-07-22 00:00:00+05:30,27.12,27.38,26.6,27.1,14317127,RPOWER
2024-07-23 00:00:00+05:30,27.2,27.69,25.75,26.94,23115494,RPOWER
2024-07-24 00:00:00+05:30,26.99,28.28,26.91,28.28,12928769,RPOWER
2024-07-25 00:00:00+05:30,28.28,29.69,28.25,29.69,46151809,RPOWER
2024-07-26 00:00:00+05:30,30.48,30.58,29.4,29.77,55492192,RPOWER
2024-07-29 00:00:00+05:30,30.34,31.25,30.03,31.25,71910139,RPOWER
2024-07-30 00:00:00+05:30,31.5,31.8,30.87,31.28,54248875,RPOWER
2024-07-31 00:00:00+05:30,31.59,32.84,31.36,32.84,79351737,RPOWER
2024-08-01 00:00:00+05:30,33.39,34.48,32.27,32.9,149866875,RPOWER
2024-08-02 00:00:00+05:30,32.25,34.54,31.88,34.54,99408426,RPOWER
2024-08-05 00:00:00+05:30,33.5,34.28,32.81,32.81,118747814,RPOWER
2024-08-06 00:00:00+05:30,32.45,32.99,31.16,31.16,71383353,RPOWER
2024-08-07 00:00:00+05:30,30.5,32.16,29.77,31.86,109772125,RPOWER
2024-08-08 00:00:00+05:30,31.74,32.22,30.68,30.8,43647855,RPOWER
2024-08-09 00:00:00+05:30,31.37,32.34,30.91,32.32,64445253,RPOWER
2024-08-12 00:00:00+05:30,32.0,32.53,31.15,31.81,43855418,RPOWER
2024-08-13 00:00:00+05:30,32.0,32.68,30.21,30.34,56317912,RPOWER
2024-08-14 00:00:00+05:30,30.5,30.62,29.26,29.75,29347558,RPOWER
2024-08-16 00:00:00+05:30,30.98,31.23,29.93,31.23,31051939,RPOWER
2024-08-19 00:00:00+05:30,31.9,32.79,31.6,32.79,44573929,RPOWER
2024-08-20 00:00:00+05:30,33.7,34.42,33.5,34.42,20219725,RPOWER
2024-08-21 00:00:00+05:30,36.0,36.14,36.0,36.14,21769768,RPOWER
2024-08-22 00:00:00+05:30,37.94,37.94,35.37,36.3,230392058,RPOWER
2024-08-23 00:00:00+05:30,36.74,38.11,34.48,34.48,340375309,RPOWER
2024-08-26 00:00:00+05:30,32.75,32.75,32.75,32.75,9931761,RPOWER
2024-08-27 00:00:00+05:30,31.11,31.11,31.11,31.11,7812060,RPOWER
2024-08-28 00:00:00+05:30,30.55,32.47,30.55,31.26,216452323,RPOWER
2024-08-29 00:00:00+05:30,31.4,31.53,30.0,30.57,51774178,RPOWER
2024-08-30 00:00:00+05:30,30.71,31.27,30.33,30.56,39429788,RPOWER
2024-09-02 00:00:00+05:30,30.6,30.79,29.61,30.09,37044245,RPOWER
2024-09-03 00:00:00+05:30,30.0,30.34,29.52,29.58,24914388,RPOWER
2024-09-04 00:00:00+05:30,29.26,31.05,29.26,31.05,32092690,RPOWER
2024-09-05 00:00:00+05:30,31.96,32.25,30.71,30.85,54357242,RPOWER
2024-09-06 00:00:00+05:30,31.1,31.16,29.86,30.22,27629229,RPOWER
2024-09-09 00:00:00+05:30,30.15,30.28,29.21,29.72,24414525,RPOWER
2024-09-10 00:00:00+05:30,29.82,30.69,29.69,30.03,27203820,RPOWER
2024-09-11 00:00:00+05:30,30.19,30.68,29.5,29.56,21910317,RPOWER
2024-09-12 00:00:00+05:30,29.81,30.1,29.25,29.67,24872985,RPOWER
2024-09-13 00:00:00+05:30,29.68,30.33,29.65,29.83,16361976,RPOWER
2024-09-16 00:00:00+05:30,30.3,31.32,29.92,31.05,44099018,RPOWER
2024-09-17 00:00:00+05:30,31.7,31.89,30.6,31.4,44713761,RPOWER
2024-09-18 00:00:00+05:30,32.97,32.97,32.97,32.97,9027669,RPOWER
2024-09-19 00:00:00+05:30,34.61,34.61,33.51,34.61,130356791,RPOWER
2024-09-20 00:00:00+05:30,36.31,36.34,35.52,36.34,51425308,RPOWER
2024-09-23 00:00:00+05:30,38.15,38.15,38.15,38.15,9918715,RPOWER
2024-09-24 00:00:00+05:30,40.05,40.05,40.05,40.05,9236911,RPOWER
2024-09-25 00:00:00+05:30,42.05,42.05,40.25,42.05,233068621,RPOWER
2024-09-26 00:00:00+05:30,42.7,44.15,42.3,44.15,158323050,RPOWER
2024-09-27 00:00:00+05:30,46.35,46.35,46.35,46.35,19719095,RPOWER
2024-09-30 00:00:00+05:30,46.25,48.66,44.21,48.66,209326581,RPOWER
2024-10-01 00:00:00+05:30,51.09,51.09,49.62,51.09,163084765,RPOWER
2024-10-03 00:00:00+05:30,52.09,53.64,51.59,53.64,53668699,RPOWER
2024-10-04 00:00:00+05:30,53.4,53.4,50.95,50.95,92740727,RPOWER
2024-10-07 00:00:00+05:30,48.4,48.4,48.4,48.4,6420558,RPOWER
2024-10-08 00:00:00+05:30,45.98,45.98,45.98,45.98,7930602,RPOWER
2024-10-09 00:00:00+05:30,45.55,48.27,45.1,48.27,40671279,RPOWER
2024-10-10 00:00:00+05:30,48.31,49.7,45.85,46.56,52197731,RPOWER
2024-10-11 00:00:00+05:30,45.82,45.89,44.23,44.23,26347216,RPOWER
2024-10-14 00:00:00+05:30,43.14,45.8,43.14,43.53,23971906,RPOWER
2024-10-15 00:00:00+05:30,43.94,44.55,42.2,44.37,17211996,RPOWER
2024-10-16 00:00:00+05:30,44.37,44.37,42.75,43.94,15458370,RPOWER
2024-10-17 00:00:00+05:30,43.78,43.9,41.74,41.74,15542858,RPOWER
2024-10-18 00:00:00+05:30,40.51,43.0,39.65,42.45,24207873,RPOWER
2024-10-21 00:00:00+05:30,42.6,42.95,40.32,40.46,16140502,RPOWER
2024-10-22 00:00:00+05:30,40.36,41.0,38.43,38.43,18474553,RPOWER
2024-10-23 00:00:00+05:30,37.3,40.35,37.3,40.35,16409530,RPOWER
2024-10-24 00:00:00+05:30,41.08,42.36,40.8,42.36,12428313,RPOWER
2024-10-25 00:00:00+05:30,43.5,44.35,40.24,43.2,27485988,RPOWER
2024-10-28 00:00:00+05:30,43.2,43.98,41.1,41.5,16116086,RPOWER
2024-10-29 00:00:00+05:30,41.29,41.45,40.0,41.08,10029529,RPOWER
2024-10-30 00:00:00+05:30,41.0,42.78,40.3,41.93,9945976,RPOWER
2024-10-31 00:00:00+05:30,42.15,43.2,41.4,42.73,7640086,RPOWER
2024-11-01 00:00:00+05:30,43.4,43.4,42.67,43.03,6231641,RPOWER
2024-11-04 00:00:00+05:30,42.5,42.5,40.87,42.03,13876998,RPOWER
2024-11-05 00:00:00+05:30,42.0,42.5,41.36,41.52,7952064,RPOWER
2024-11-06 00:00:00+05:30,41.8,43.59,41.5,43.59,13144820,RPOWER
2024-11-07 00:00:00+05:30,44.7,45.76,43.25,43.77,53208847,RPOWER
2024-11-08 00:00:00+05:30,41.58,41.58,41.58,41.58,14385057,RPOWER
2024-11-11 00:00:00+05:30,39.5,39.5,39.5,39.5,3832048,RPOWER
2024-11-12 00:00:00+05:30,38.5,40.73,37.52,38.38,43580968,RPOWER
2024-11-13 00:00:00+05:30,37.6,38.38,36.46,36.46,21183157,RPOWER
2024-11-14 00:00:00+05:30,35.5,37.79,35.15,35.93,15505929,RPOWER
2024-11-18 00:00:00+05:30,35.93,36.0,34.13,34.13,18813017,RPOWER
2024-11-19 00:00:00+05:30,34.05,35.83,33.3,35.74,12855415,RPOWER
2024-11-21 00:00:00+05:30,35.6,35.6,34.06,34.28,13783304,RPOWER
2024-11-22 00:00:00+05:30,34.9,35.6,33.81,35.05,9763592,RPOWER
2024-11-25 00:00:00+05:30,35.93,36.8,34.25,34.59,15889872,RPOWER
2024-11-26 00:00:00+05:30,34.6,36.31,34.45,36.31,9178718,RPOWER
2024-11-27 00:00:00+05:30,37.45,38.12,36.0,38.12,13573329,RPOWER
2024-11-28 00:00:00+05:30,39.14,40.02,38.48,40.0,21162543,RPOWER
2024-11-29 00:00:00+05:30,40.0,40.0,38.3,38.7,12356868,RPOWER
2024-12-02 00:00:00+05:30,38.7,39.0,37.35,38.87,7614873,RPOWER
2024-12-03 00:00:00+05:30,38.89,39.4,38.6,39.14,8203923,RPOWER
2024-12-04 00:00:00+05:30,41.09,41.09,41.09,41.09,7785254,RPOWER
2024-12-05 00:00:00+05:30,42.9,43.14,42.1,43.14,27780308,RPOWER
2024-12-06 00:00:00+05:30,43.8,45.25,43.2,44.49,22579913,RPOWER
2024-12-09 00:00:00+05:30,45.39,45.94,43.5,44.39,14247171,RPOWER
2024-12-10 00:00:00+05:30,44.8,45.15,42.5,44.86,19552400,RPOWER
2024-12-11 00:00:00+05:30,45.3,45.3,43.9,44.04,11944138,RPOWER
2024-12-12 00:00:00+05:30,46.24,46.24,45.72,46.24,24744101,RPOWER
2024-12-13 00:00:00+05:30,46.6,48.0,44.55,47.45,21123733,RPOWER
2024-12-16 00:00:00+05:30,47.7,48.5,46.5,47.23,14399663,RPOWER
2024-12-17 00:00:00+05:30,46.99,48.0,46.0,46.71,13400599,RPOWER
2024-12-18 00:00:00+05:30,46.85,47.24,44.8,44.88,10098454,RPOWER
2024-12-19 00:00:00+05:30,43.51,47.12,43.01,46.92,17004748,RPOWER
2024-12-20 00:00:00+05:30,47.8,47.89,44.6,44.75,15887901,RPOWER
2024-12-23 00:00:00+05:30,44.98,45.47,43.6,43.79,9908045,RPOWER
2024-12-24 00:00:00+05:30,43.93,45.19,43.55,44.44,8177107,RPOWER
2024-12-26 00:00:00+05:30,44.44,45.38,44.05,44.13,6265768,RPOWER
2024-12-27 00:00:00+05:30,45.6,45.62,42.95,43.16,7827440,RPOWER
2024-12-30 00:00:00+05:30,43.0,43.87,41.26,41.85,12743524,RPOWER
2024-12-31 00:00:00+05:30,41.65,42.79,41.4,42.6,16854568,RPOWER
2025-01-01 00:00:00+05:30,42.89,44.73,42.6,44.73,33005564,RPOWER
2025-01-02 00:00:00+05:30,44.92,46.69,44.15,46.29,38974368,RPOWER
2025-01-03 00:00:00+05:30,46.19,47.25,45.6,45.8,25173373,RPOWER
2025-01-06 00:00:00+05:30,45.8,46.1,43.51,43.51,36739794,RPOWER
2025-01-07 00:00:00+05:30,42.85,44.19,42.5,43.4,24607193,RPOWER
2025-01-08 00:00:00+05:30,43.4,43.5,41.56,42.38,17710671,RPOWER
2025-01-09 00:00:00+05:30,42.36,42.36,40.26,40.26,15797608,RPOWER
2025-01-10 00:00:00+05:30,40.26,40.99,38.8,38.98,37685704,RPOWER
2025-01-13 00:00:00+05:30,38.39,39.5,37.03,37.03,21074467,RPOWER
2025-01-14 00:00:00+05:30,37.39,38.88,36.49,38.88,22424263,RPOWER
2025-01-15 00:00:00+05:30,38.94,40.45,38.43,39.24,19717894,RPOWER
2025-01-16 00:00:00+05:30,40.05,41.2,40.05,41.2,17556401,RPOWER
2025-01-17 00:00:00+05:30,41.5,42.95,41.1,42.06,20349975,RPOWER
2025-01-20 00:00:00+05:30,42.39,42.7,40.43,40.78,24420919,RPOWER
2025-01-21 00:00:00+05:30,41.39,41.58,39.86,40.11,11491641,RPOWER
2025-01-22 00:00:00+05:30,40.5,41.0,38.54,39.45,14973841,RPOWER
2025-01-23 00:00:00+05:30,40.09,40.54,39.31,39.63,8591590,RPOWER
2025-01-24 00:00:00+05:30,39.52,40.0,38.31,38.52,8229512,RPOWER
2025-01-27 00:00:00+05:30,38.49,38.5,36.59,36.71,15153131,RPOWER
2025-01-28 00:00:00+05:30,36.72,38.18,35.19,36.85,22096368,RPOWER
2025-01-29 00:00:00+05:30,37.6,38.69,37.35,38.65,12072838,RPOWER
2025-01-30 00:00:00+05:30,38.81,39.75,38.21,38.67,14301589,RPOWER
2025-01-31 00:00:00+05:30,38.83,40.4,38.57,40.09,12689576,RPOWER
2025-02-01 00:00:00+05:30,40.23,40.48,38.5,39.1,16353318,RPOWER
2025-02-03 00:00:00+05:30,38.55,38.85,37.62,38.0,11816377,RPOWER
2025-02-04 00:00:00+05:30,38.45,39.9,38.31,39.9,22124568,RPOWER
2025-02-05 00:00:00+05:30,40.2,40.95,39.52,39.92,16432223,RPOWER
2025-02-06 00:00:00+05:30,41.36,43.94,40.96,42.39,72713447,RPOWER
2025-02-07 00:00:00+05:30,42.6,43.39,41.51,41.84,30242652,RPOWER
2025-02-10 00:00:00+05:30,42.4,42.59,39.76,41.0,23468901,RPOWER
2025-02-11 00:00:00+05:30,41.0,41.0,38.62,39.09,21420452,RPOWER
2025-02-12 00:00:00+05:30,39.01,40.28,37.12,39.45,30838570,RPOWER
2025-02-13 00:00:00+05:30,39.65,40.8,39.1,39.56,18215262,RPOWER
2025-02-14 00:00:00+05:30,39.59,39.75,36.67,37.27,29114187,RPOWER
2025-02-17 00:00:00+05:30,37.19,37.89,35.91,36.94,23853325,RPOWER
2025-02-18 00:00:00+05:30,37.15,37.44,36.07,36.78,14308712,RPOWER
2025-02-19 00:00:00+05:30,36.28,38.4,36.05,37.95,19024449,RPOWER
2025-02-20 00:00:00+05:30,37.9,38.65,37.5,38.16,13736316,RPOWER
2025-02-21 00:00:00+05:30,37.99,39.15,37.52,37.7,15678732,RPOWER
2025-02-24 00:00:00+05:30,37.4,37.55,36.7,36.8,11570405,RPOWER
2025-02-25 00:00:00+05:30,37.0,37.55,36.21,36.52,10968496,RPOWER
2025-02-27 00:00:00+05:30,36.7,36.89,34.4,34.75,20814224,RPOWER
2025-02-28 00:00:00+05:30,34.33,34.76,33.0,33.26,27889162,RPOWER
2025-03-03 00:00:00+05:30,33.46,34.48,31.27,32.92,32477141,RPOWER
2025-03-04 00:00:00+05:30,32.1,33.9,32.05,33.08,25681936,RPOWER
2025-03-05 00:00:00+05:30,33.2,34.82,33.2,34.66,22570968,RPOWER
2025-03-06 00:00:00+05:30,35.15,36.14,34.44,35.19,36413100,RPOWER
2025-03-07 00:00:00+05:30,35.3,36.37,34.94,36.04,29894193,RPOWER
2025-03-10 00:00:00+05:30,36.25,36.75,34.05,34.42,19881131,RPOWER
2025-03-11 00:00:00+05:30,34.09,34.34,33.35,34.0,17067653,RPOWER
2025-03-12 00:00:00+05:30,34.3,34.89,33.3,33.64,15483657,RPOWER
2025-03-13 00:00:00+05:30,34.18,34.65,33.32,33.39,16251003,RPOWER
2025-03-17 00:00:00+05:30,33.75,33.95,32.9,33.02,16761082,RPOWER
2025-03-18 00:00:00+05:30,33.45,34.99,33.45,34.8,23354794,RPOWER
2025-03-19 00:00:00+05:30,35.11,38.35,35.11,37.72,43889294,RPOWER
