date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,83.0,84.25,82.75,83.45,1449486,SBFC
2024-05-27 00:00:00+05:30,84.0,84.0,82.5,82.75,878900,SBFC
2024-05-28 00:00:00+05:30,83.9,83.9,81.65,81.95,1032285,SBFC
2024-05-29 00:00:00+05:30,81.8,82.4,81.5,82.15,566866,SBFC
2024-05-30 00:00:00+05:30,81.9,82.45,81.05,81.25,686532,SBFC
2024-05-31 00:00:00+05:30,81.25,81.7,80.5,81.2,1190252,SBFC
2024-06-03 00:00:00+05:30,85.0,87.35,81.9,82.45,1401897,SBFC
2024-06-04 00:00:00+05:30,82.45,82.7,77.05,80.05,2356639,SBFC
2024-06-05 00:00:00+05:30,82.1,82.35,79.0,82.05,1359250,SBFC
2024-06-06 00:00:00+05:30,82.5,84.85,82.45,83.25,1302273,SBFC
2024-06-07 00:00:00+05:30,84.2,84.85,83.1,84.6,1204342,SBFC
2024-06-10 00:00:00+05:30,84.95,86.55,83.1,85.02,2465043,SBFC
2024-06-11 00:00:00+05:30,85.02,85.63,84.01,84.96,1051895,SBFC
2024-06-12 00:00:00+05:30,84.93,86.35,84.61,84.86,1425181,SBFC
2024-06-13 00:00:00+05:30,85.4,86.75,84.79,85.09,2051475,SBFC
2024-06-14 00:00:00+05:30,85.39,86.59,85.0,86.19,1617509,SBFC
2024-06-18 00:00:00+05:30,86.75,87.3,85.75,86.47,3436047,SBFC
2024-06-19 00:00:00+05:30,86.7,87.75,85.3,86.28,1905749,SBFC
2024-06-20 00:00:00+05:30,86.59,87.5,85.48,86.86,3975505,SBFC
2024-06-21 00:00:00+05:30,87.2,87.27,85.0,85.22,1615056,SBFC
2024-06-24 00:00:00+05:30,85.0,87.5,84.0,85.62,1600373,SBFC
2024-06-25 00:00:00+05:30,85.63,86.54,84.62,84.93,1738597,SBFC
2024-06-26 00:00:00+05:30,85.0,85.77,84.1,84.36,1375255,SBFC
2024-06-27 00:00:00+05:30,84.95,85.36,82.35,82.6,1873401,SBFC
2024-06-28 00:00:00+05:30,83.57,83.93,82.13,82.34,1007902,SBFC
2024-07-01 00:00:00+05:30,82.34,84.15,82.34,83.89,767787,SBFC
2024-07-02 00:00:00+05:30,84.3,84.35,82.4,82.72,1115804,SBFC
2024-07-03 00:00:00+05:30,83.9,83.9,82.71,83.63,694770,SBFC
2024-07-04 00:00:00+05:30,83.85,83.95,82.21,83.25,1484766,SBFC
2024-07-05 00:00:00+05:30,83.0,83.78,82.23,83.46,1271351,SBFC
2024-07-08 00:00:00+05:30,83.05,84.27,81.9,83.95,1737780,SBFC
2024-07-09 00:00:00+05:30,84.2,84.2,82.82,83.18,985043,SBFC
2024-07-10 00:00:00+05:30,83.19,83.74,81.21,82.37,1785896,SBFC
2024-07-11 00:00:00+05:30,82.75,83.14,81.32,81.93,2540326,SBFC
2024-07-12 00:00:00+05:30,81.8,82.5,81.36,81.9,1272890,SBFC
2024-07-15 00:00:00+05:30,82.44,82.44,81.02,82.04,1196490,SBFC
2024-07-16 00:00:00+05:30,81.65,82.5,81.11,81.31,1065387,SBFC
2024-07-18 00:00:00+05:30,81.31,82.2,80.21,81.1,1299456,SBFC
2024-07-19 00:00:00+05:30,80.5,82.04,79.82,81.12,1562280,SBFC
2024-07-22 00:00:00+05:30,80.0,80.7,78.71,80.05,1512894,SBFC
2024-07-23 00:00:00+05:30,79.85,82.5,78.3,82.01,1422284,SBFC
2024-07-24 00:00:00+05:30,81.51,83.55,81.24,81.82,1447288,SBFC
2024-07-25 00:00:00+05:30,80.21,81.37,80.21,80.75,740756,SBFC
2024-07-26 00:00:00+05:30,81.0,82.74,81.0,82.31,1415093,SBFC
2024-07-29 00:00:00+05:30,84.0,84.95,83.01,83.82,2136538,SBFC
2024-07-30 00:00:00+05:30,84.95,84.95,82.3,82.42,1557606,SBFC
2024-07-31 00:00:00+05:30,82.6,85.95,82.53,84.73,3110943,SBFC
2024-08-01 00:00:00+05:30,84.75,85.39,83.85,84.17,1254215,SBFC
2024-08-02 00:00:00+05:30,82.2,83.99,81.36,82.6,1398736,SBFC
2024-08-05 00:00:00+05:30,81.0,81.48,79.99,80.12,2001493,SBFC
2024-08-06 00:00:00+05:30,81.0,82.2,80.0,80.39,1016040,SBFC
2024-08-07 00:00:00+05:30,82.4,82.4,80.0,80.83,1496776,SBFC
2024-08-08 00:00:00+05:30,81.8,81.8,80.45,81.05,757512,SBFC
2024-08-09 00:00:00+05:30,81.8,82.0,81.03,81.27,623126,SBFC
2024-08-12 00:00:00+05:30,81.0,82.47,80.34,81.58,770513,SBFC
2024-08-13 00:00:00+05:30,81.1,82.0,81.01,81.46,944824,SBFC
2024-08-14 00:00:00+05:30,81.46,85.15,80.85,84.61,3134928,SBFC
2024-08-16 00:00:00+05:30,86.21,86.21,84.0,84.11,1004785,SBFC
2024-08-19 00:00:00+05:30,85.0,85.39,83.4,84.36,902899,SBFC
2024-08-20 00:00:00+05:30,85.0,85.15,83.5,84.62,786326,SBFC
2024-08-21 00:00:00+05:30,84.7,89.7,83.87,86.01,8319997,SBFC
2024-08-22 00:00:00+05:30,86.2,87.8,86.2,86.6,1691678,SBFC
2024-08-23 00:00:00+05:30,86.79,86.79,83.71,84.56,1309924,SBFC
2024-08-26 00:00:00+05:30,85.0,85.9,84.03,84.99,2204931,SBFC
2024-08-27 00:00:00+05:30,85.0,87.73,84.78,87.04,2871946,SBFC
2024-08-28 00:00:00+05:30,87.0,89.19,86.11,87.08,3897333,SBFC
2024-08-29 00:00:00+05:30,86.75,87.27,83.01,83.95,1649833,SBFC
2024-08-30 00:00:00+05:30,84.55,85.57,83.75,84.38,4028238,SBFC
2024-09-02 00:00:00+05:30,84.36,85.0,83.7,83.89,830921,SBFC
2024-09-03 00:00:00+05:30,83.89,84.84,83.5,83.79,813023,SBFC
2024-09-04 00:00:00+05:30,84.0,87.3,83.25,84.27,3123215,SBFC
2024-09-05 00:00:00+05:30,84.9,85.0,83.69,84.03,2294139,SBFC
2024-09-06 00:00:00+05:30,84.25,84.8,82.0,82.53,1554684,SBFC
2024-09-09 00:00:00+05:30,83.4,83.4,81.11,82.48,1074362,SBFC
2024-09-10 00:00:00+05:30,82.6,86.85,82.6,86.16,3100508,SBFC
2024-09-11 00:00:00+05:30,86.6,86.7,83.5,83.97,1396727,SBFC
2024-09-12 00:00:00+05:30,84.35,84.74,83.21,84.17,942516,SBFC
2024-09-13 00:00:00+05:30,84.59,84.65,83.7,83.77,1179017,SBFC
