date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,199.25,201.75,198.7,199.45,341997,SHK
2024-05-27 00:00:00+05:30,199.8,201.4,196.0,196.5,353483,SHK
2024-05-28 00:00:00+05:30,204.95,205.5,196.3,198.35,962839,SHK
2024-05-29 00:00:00+05:30,201.5,201.5,192.0,193.35,336008,SHK
2024-05-30 00:00:00+05:30,192.8,192.85,188.05,189.3,260641,SHK
2024-05-31 00:00:00+05:30,190.3,194.9,186.05,192.6,237322,SHK
2024-06-03 00:00:00+05:30,198.8,199.0,185.0,186.75,583837,SHK
2024-06-04 00:00:00+05:30,187.5,187.5,171.0,177.2,571311,SHK
2024-06-05 00:00:00+05:30,179.95,190.8,176.05,189.4,245330,SHK
2024-06-06 00:00:00+05:30,190.7,193.0,187.7,191.2,215834,SHK
2024-06-07 00:00:00+05:30,191.15,199.0,190.1,197.8,493288,SHK
2024-06-10 00:00:00+05:30,198.49,205.2,196.47,202.06,663795,SHK
2024-06-11 00:00:00+05:30,202.1,204.1,200.1,202.67,389461,SHK
2024-06-12 00:00:00+05:30,203.65,205.5,201.02,202.0,416377,SHK
2024-06-13 00:00:00+05:30,202.8,205.3,199.22,201.29,408463,SHK
2024-06-14 00:00:00+05:30,201.29,208.0,201.15,202.85,766323,SHK
2024-06-18 00:00:00+05:30,204.45,206.19,201.5,204.11,353368,SHK
2024-06-19 00:00:00+05:30,204.15,207.0,201.5,202.32,633469,SHK
2024-06-20 00:00:00+05:30,202.3,211.88,202.13,207.37,939765,SHK
2024-06-21 00:00:00+05:30,207.8,215.55,206.8,207.65,756966,SHK
2024-06-24 00:00:00+05:30,206.75,207.65,197.0,198.69,530481,SHK
2024-06-25 00:00:00+05:30,200.8,204.58,198.0,198.55,516281,SHK
2024-06-26 00:00:00+05:30,199.78,199.78,193.1,194.13,337568,SHK
2024-06-27 00:00:00+05:30,193.9,194.0,184.54,185.65,534080,SHK
2024-06-28 00:00:00+05:30,186.2,188.9,184.5,185.45,1271999,SHK
2024-07-01 00:00:00+05:30,186.5,198.5,186.5,194.5,979078,SHK
2024-07-02 00:00:00+05:30,195.0,197.16,193.36,195.16,389084,SHK
2024-07-03 00:00:00+05:30,196.35,200.9,195.87,196.85,458694,SHK
2024-07-04 00:00:00+05:30,197.6,198.4,195.0,196.01,250497,SHK
