date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,71.95,73.8,71.65,72.85,1309336,SIGACHI
2024-05-27 00:00:00+05:30,73.2,75.5,67.5,68.55,6055868,SIGACHI
2024-05-28 00:00:00+05:30,69.75,71.0,66.55,66.9,2492386,SIGACHI
2024-05-29 00:00:00+05:30,66.8,67.7,65.8,66.0,1544261,SIGACHI
2024-05-30 00:00:00+05:30,66.0,66.9,63.5,63.85,1294610,SIGACHI
2024-05-31 00:00:00+05:30,64.45,66.65,64.0,64.6,1878486,SIGACHI
2024-06-03 00:00:00+05:30,68.0,68.0,65.2,66.45,1053481,SIGACHI
2024-06-04 00:00:00+05:30,66.4,66.4,56.75,61.0,2693036,SIGACHI
2024-06-05 00:00:00+05:30,61.4,62.75,59.05,62.05,1573586,SIGACHI
2024-06-06 00:00:00+05:30,63.35,64.85,63.05,63.95,883860,SIGACHI
2024-06-07 00:00:00+05:30,64.2,65.05,63.95,64.2,775945,SIGACHI
2024-06-10 00:00:00+05:30,66.0,66.0,63.63,64.02,972269,SIGACHI
2024-06-11 00:00:00+05:30,64.15,64.58,62.5,62.96,1418190,SIGACHI
2024-06-12 00:00:00+05:30,63.0,67.36,63.0,65.35,4175254,SIGACHI
2024-06-13 00:00:00+05:30,65.86,66.2,64.1,64.69,1268834,SIGACHI
2024-06-14 00:00:00+05:30,64.69,65.6,64.41,64.75,1030516,SIGACHI
2024-06-18 00:00:00+05:30,64.8,65.3,63.75,64.09,1043331,SIGACHI
2024-06-19 00:00:00+05:30,64.42,64.42,62.8,62.91,1238781,SIGACHI
2024-06-20 00:00:00+05:30,63.3,63.69,62.56,63.2,1265033,SIGACHI
2024-06-21 00:00:00+05:30,63.2,64.5,62.85,63.01,1024452,SIGACHI
2024-06-24 00:00:00+05:30,62.12,63.33,61.9,62.05,1169945,SIGACHI
2024-06-25 00:00:00+05:30,62.1,62.72,61.7,61.82,744513,SIGACHI
2024-06-26 00:00:00+05:30,61.82,62.09,61.3,61.39,620681,SIGACHI
2024-06-27 00:00:00+05:30,61.11,61.95,59.86,60.14,975020,SIGACHI
2024-06-28 00:00:00+05:30,60.6,61.49,60.01,60.45,817544,SIGACHI
2024-07-01 00:00:00+05:30,60.78,60.93,60.0,60.08,672744,SIGACHI
2024-07-02 00:00:00+05:30,60.39,60.78,59.41,59.94,612944,SIGACHI
2024-07-03 00:00:00+05:30,60.05,64.0,60.01,63.41,3776721,SIGACHI
2024-07-04 00:00:00+05:30,63.7,64.19,62.35,62.6,1060793,SIGACHI
2024-07-05 00:00:00+05:30,62.8,63.0,61.25,61.51,1112135,SIGACHI
2024-07-08 00:00:00+05:30,61.55,61.99,60.4,60.6,1171148,SIGACHI
2024-07-09 00:00:00+05:30,60.73,61.23,60.07,60.68,590509,SIGACHI
2024-07-10 00:00:00+05:30,61.0,64.29,59.01,62.72,4761026,SIGACHI
2024-07-11 00:00:00+05:30,62.99,63.13,61.21,61.39,947175,SIGACHI
2024-07-12 00:00:00+05:30,61.63,61.63,60.85,60.94,654018,SIGACHI
2024-07-15 00:00:00+05:30,61.0,61.6,60.01,60.62,800412,SIGACHI
2024-07-16 00:00:00+05:30,60.0,60.99,60.0,60.21,702168,SIGACHI
2024-07-18 00:00:00+05:30,60.39,60.59,59.05,59.48,912400,SIGACHI
2024-07-19 00:00:00+05:30,59.48,61.68,58.25,58.6,1070436,SIGACHI
2024-07-22 00:00:00+05:30,58.3,59.0,57.85,58.08,524637,SIGACHI
2024-07-23 00:00:00+05:30,58.25,59.99,56.1,58.4,923852,SIGACHI
2024-07-24 00:00:00+05:30,58.55,60.3,58.5,59.9,877346,SIGACHI
2024-07-25 00:00:00+05:30,59.8,66.41,59.25,65.95,9989588,SIGACHI
