date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,87.64,88.28,87.33,88.01,5357615,SILVERBEES
2024-05-27 00:00:00+05:30,88.42,89.28,88.42,88.97,3545244,SILVERBEES
2024-05-28 00:00:00+05:30,91.12,91.79,90.16,91.2,6138061,SILVERBEES
2024-05-29 00:00:00+05:30,92.33,93.08,92.1,92.46,5337077,SILVERBEES
2024-05-30 00:00:00+05:30,91.7,91.79,90.47,90.85,4111219,SILVERBEES
2024-05-31 00:00:00+05:30,90.0,90.77,89.55,90.6,3400330,SILVERBEES
2024-06-03 00:00:00+05:30,88.44,88.44,87.0,88.12,11074671,SILVERBEES
2024-06-04 00:00:00+05:30,89.0,89.49,86.28,87.31,7655983,SILVERBEES
2024-06-05 00:00:00+05:30,87.0,87.3,86.21,86.77,4160286,SILVERBEES
2024-06-06 00:00:00+05:30,89.35,89.8,88.21,88.84,4368995,SILVERBEES
2024-06-07 00:00:00+05:30,90.33,91.85,89.01,89.38,6244962,SILVERBEES
2024-06-10 00:00:00+05:30,87.2,87.4,86.27,87.34,12480895,SILVERBEES
2024-06-11 00:00:00+05:30,86.4,86.58,85.83,86.21,10858960,SILVERBEES
2024-06-12 00:00:00+05:30,87.13,87.14,86.65,86.82,7529094,SILVERBEES
2024-06-13 00:00:00+05:30,86.49,86.75,86.06,86.58,9025368,SILVERBEES
2024-06-14 00:00:00+05:30,86.24,86.24,85.67,86.11,13581199,SILVERBEES
2024-06-18 00:00:00+05:30,87.48,87.49,86.12,86.26,4734222,SILVERBEES
2024-06-19 00:00:00+05:30,87.48,87.48,86.43,86.92,4234781,SILVERBEES
2024-06-20 00:00:00+05:30,87.81,88.75,87.81,88.5,5536699,SILVERBEES
2024-06-21 00:00:00+05:30,89.01,89.48,88.31,88.7,5412371,SILVERBEES
2024-06-24 00:00:00+05:30,87.29,87.36,86.16,86.99,6130512,SILVERBEES
2024-06-25 00:00:00+05:30,86.74,86.94,86.02,86.81,5287594,SILVERBEES
2024-06-26 00:00:00+05:30,85.59,85.64,84.64,85.27,13212096,SILVERBEES
2024-06-27 00:00:00+05:30,86.0,86.0,84.5,85.06,4862251,SILVERBEES
2024-06-28 00:00:00+05:30,85.89,86.09,85.23,85.9,3330304,SILVERBEES
2024-07-01 00:00:00+05:30,87.0,87.0,85.05,85.58,4958530,SILVERBEES
2024-07-02 00:00:00+05:30,85.66,86.25,85.65,85.95,3650634,SILVERBEES
2024-07-03 00:00:00+05:30,86.9,87.67,86.33,87.44,5846093,SILVERBEES
2024-07-04 00:00:00+05:30,88.47,88.48,87.5,87.89,5466784,SILVERBEES
2024-07-05 00:00:00+05:30,88.69,88.78,88.15,88.68,4989381,SILVERBEES
2024-07-08 00:00:00+05:30,100.0,100.0,89.12,89.44,4891688,SILVERBEES
2024-07-09 00:00:00+05:30,89.49,89.94,89.12,89.86,4540484,SILVERBEES
2024-07-10 00:00:00+05:30,89.55,89.8,89.05,89.7,3856274,SILVERBEES
2024-07-11 00:00:00+05:30,90.2,90.2,89.8,90.03,3759980,SILVERBEES
2024-07-12 00:00:00+05:30,90.17,90.4,89.25,89.61,6109009,SILVERBEES
2024-07-15 00:00:00+05:30,89.92,89.95,89.12,89.4,4894516,SILVERBEES
2024-07-16 00:00:00+05:30,89.78,89.89,89.4,89.78,3265339,SILVERBEES
2024-07-18 00:00:00+05:30,89.24,89.52,89.01,89.43,5570956,SILVERBEES
2024-07-19 00:00:00+05:30,88.19,89.0,86.76,86.91,9735167,SILVERBEES
2024-07-22 00:00:00+05:30,86.99,86.99,86.06,86.3,4929344,SILVERBEES
2024-07-23 00:00:00+05:30,86.9,87.1,82.34,83.51,17580132,SILVERBEES
2024-07-24 00:00:00+05:30,86.01,86.09,82.5,82.91,12159702,SILVERBEES
2024-07-25 00:00:00+05:30,82.71,82.71,79.52,79.87,21276178,SILVERBEES
2024-07-26 00:00:00+05:30,79.9,80.39,79.49,79.8,10821154,SILVERBEES
