date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,38.0,38.2,37.8,37.85,7145725,TRIDENT
2024-05-27 00:00:00+05:30,38.0,38.15,37.4,37.65,6903515,TRIDENT
2024-05-28 00:00:00+05:30,37.75,37.75,37.1,37.3,5755272,TRIDENT
2024-05-29 00:00:00+05:30,37.3,37.6,36.95,37.15,4853352,TRIDENT
2024-05-30 00:00:00+05:30,37.15,37.4,36.8,36.85,4895504,TRIDENT
2024-05-31 00:00:00+05:30,37.2,37.2,36.4,36.5,5751289,TRIDENT
2024-06-03 00:00:00+05:30,38.15,38.3,36.8,36.9,7997503,TRIDENT
2024-06-04 00:00:00+05:30,37.15,37.15,33.5,35.1,12469579,TRIDENT
2024-06-05 00:00:00+05:30,35.85,36.8,34.6,36.6,6830753,TRIDENT
2024-06-06 00:00:00+05:30,36.4,37.15,36.1,36.7,9985433,TRIDENT
2024-06-07 00:00:00+05:30,37.0,37.25,36.6,37.05,6481284,TRIDENT
2024-06-10 00:00:00+05:30,37.25,37.44,36.93,37.06,6063373,TRIDENT
2024-06-11 00:00:00+05:30,37.25,38.55,36.9,37.84,15579253,TRIDENT
2024-06-12 00:00:00+05:30,38.25,40.96,38.1,40.48,77605955,TRIDENT
2024-06-13 00:00:00+05:30,41.25,41.78,39.61,40.03,52337969,TRIDENT
2024-06-14 00:00:00+05:30,40.0,40.19,39.2,39.39,13962076,TRIDENT
2024-06-18 00:00:00+05:30,39.55,39.8,38.9,39.03,12931527,TRIDENT
2024-06-19 00:00:00+05:30,39.0,39.18,38.25,38.58,11485600,TRIDENT
2024-06-20 00:00:00+05:30,38.7,40.16,38.2,39.28,14261917,TRIDENT
2024-06-21 00:00:00+05:30,39.5,39.71,38.44,38.61,10490306,TRIDENT
2024-06-24 00:00:00+05:30,38.59,38.92,38.3,38.54,6828138,TRIDENT
2024-06-25 00:00:00+05:30,39.0,39.0,38.16,38.28,5663109,TRIDENT
2024-06-26 00:00:00+05:30,38.4,39.2,38.21,38.69,10827065,TRIDENT
2024-06-27 00:00:00+05:30,38.78,38.88,37.9,38.14,7769670,TRIDENT
2024-06-28 00:00:00+05:30,38.5,38.74,38.0,38.08,6728587,TRIDENT
2024-07-01 00:00:00+05:30,38.3,39.09,38.12,38.91,11733271,TRIDENT
2024-07-02 00:00:00+05:30,39.2,40.19,38.51,38.66,16758594,TRIDENT
2024-07-03 00:00:00+05:30,38.78,38.95,38.29,38.38,8490423,TRIDENT
2024-07-04 00:00:00+05:30,38.68,38.7,38.25,38.29,5596531,TRIDENT
2024-07-05 00:00:00+05:30,38.26,38.38,38.0,38.19,7534895,TRIDENT
2024-07-08 00:00:00+05:30,38.39,38.45,37.9,37.95,7402639,TRIDENT
2024-07-09 00:00:00+05:30,38.0,38.55,37.95,38.04,6278215,TRIDENT
2024-07-10 00:00:00+05:30,38.2,38.2,37.4,37.78,8232539,TRIDENT
2024-07-11 00:00:00+05:30,38.0,38.36,37.78,37.81,5326272,TRIDENT
2024-07-12 00:00:00+05:30,37.85,38.04,37.65,37.71,4897374,TRIDENT
2024-07-15 00:00:00+05:30,37.88,37.97,37.41,37.67,7203094,TRIDENT
2024-07-16 00:00:00+05:30,37.68,38.57,37.65,37.98,9700301,TRIDENT
2024-07-18 00:00:00+05:30,38.05,38.16,37.25,37.56,6910802,TRIDENT
2024-07-19 00:00:00+05:30,37.81,37.86,36.88,36.98,6855079,TRIDENT
2024-07-22 00:00:00+05:30,36.8,37.5,36.47,37.24,5859430,TRIDENT
2024-07-23 00:00:00+05:30,37.5,37.59,36.2,36.97,9069938,TRIDENT
2024-07-24 00:00:00+05:30,36.97,37.79,36.9,37.45,7023960,TRIDENT
2024-07-25 00:00:00+05:30,37.4,38.48,37.1,37.36,13873757,TRIDENT
2024-07-26 00:00:00+05:30,37.5,38.44,37.05,37.75,13083447,TRIDENT
2024-07-29 00:00:00+05:30,38.25,39.11,38.1,38.19,18759498,TRIDENT
2024-07-30 00:00:00+05:30,38.31,41.25,37.97,40.78,113718567,TRIDENT
2024-07-31 00:00:00+05:30,41.09,41.45,39.25,39.38,42405480,TRIDENT
2024-08-01 00:00:00+05:30,39.64,39.68,38.31,38.42,16680980,TRIDENT
2024-08-02 00:00:00+05:30,38.0,38.4,37.7,38.21,11198818,TRIDENT
2024-08-05 00:00:00+05:30,37.1,37.61,36.4,36.63,17105158,TRIDENT
2024-08-06 00:00:00+05:30,37.0,39.75,37.0,37.71,58679431,TRIDENT
2024-08-07 00:00:00+05:30,39.18,39.25,38.13,38.84,19614446,TRIDENT
2024-08-08 00:00:00+05:30,37.88,38.74,37.79,38.01,12607945,TRIDENT
2024-08-09 00:00:00+05:30,38.59,38.6,37.6,37.88,8067085,TRIDENT
2024-08-12 00:00:00+05:30,37.7,37.8,36.93,37.46,8757033,TRIDENT
2024-08-13 00:00:00+05:30,37.55,37.79,37.0,37.09,8330345,TRIDENT
2024-08-14 00:00:00+05:30,37.1,37.2,36.6,36.83,7966373,TRIDENT
2024-08-16 00:00:00+05:30,37.23,37.35,36.95,37.09,4735354,TRIDENT
2024-08-19 00:00:00+05:30,37.09,37.44,37.09,37.18,5295904,TRIDENT
2024-08-20 00:00:00+05:30,37.45,37.89,37.17,37.27,5517356,TRIDENT
2024-08-21 00:00:00+05:30,37.29,38.34,37.24,37.92,12429670,TRIDENT
2024-08-22 00:00:00+05:30,38.34,38.49,38.0,38.03,6947269,TRIDENT
2024-08-23 00:00:00+05:30,38.32,38.32,37.64,37.74,5822225,TRIDENT
2024-08-26 00:00:00+05:30,37.99,37.99,37.32,37.41,5098106,TRIDENT
2024-08-27 00:00:00+05:30,37.49,37.9,37.4,37.57,4867560,TRIDENT
2024-08-28 00:00:00+05:30,37.61,38.25,37.4,37.48,6865438,TRIDENT
2024-08-29 00:00:00+05:30,37.57,37.65,36.91,37.05,6747546,TRIDENT
2024-08-30 00:00:00+05:30,37.22,37.3,36.92,36.98,4855011,TRIDENT
2024-09-02 00:00:00+05:30,36.98,37.15,36.8,36.86,4413356,TRIDENT
2024-09-03 00:00:00+05:30,36.88,37.18,36.85,36.91,3409315,TRIDENT
2024-09-04 00:00:00+05:30,36.71,37.64,36.69,36.91,6601936,TRIDENT
2024-09-05 00:00:00+05:30,37.05,38.04,37.01,37.39,11366570,TRIDENT
2024-09-06 00:00:00+05:30,37.4,37.58,36.8,36.86,6139499,TRIDENT
2024-09-09 00:00:00+05:30,36.85,36.94,36.27,36.38,4596158,TRIDENT
2024-09-10 00:00:00+05:30,36.5,37.05,36.49,36.91,4579394,TRIDENT
2024-09-11 00:00:00+05:30,37.0,37.32,36.45,36.5,5129130,TRIDENT
2024-09-12 00:00:00+05:30,36.8,36.91,36.47,36.51,3759542,TRIDENT
