date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,57.45,58.5,56.7,56.95,16017808,UCOBANK
2024-05-27 00:00:00+05:30,57.4,61.9,56.7,61.0,71172486,UCOBANK
2024-05-28 00:00:00+05:30,61.45,61.9,57.25,58.15,34211309,UCOBANK
2024-05-29 00:00:00+05:30,57.55,58.7,57.0,57.3,20788148,UCOBANK
2024-05-30 00:00:00+05:30,57.1,57.9,55.7,55.95,19466033,UCOBANK
2024-05-31 00:00:00+05:30,56.2,57.45,54.6,56.95,20207629,UCOBANK
2024-06-03 00:00:00+05:30,60.5,62.35,58.05,61.8,64998905,UCOBANK
2024-06-04 00:00:00+05:30,61.8,61.8,50.0,53.65,49622302,UCOBANK
2024-06-05 00:00:00+05:30,54.05,55.1,50.95,54.45,25912998,UCOBANK
2024-06-06 00:00:00+05:30,55.35,57.5,55.05,56.2,21285217,UCOBANK
2024-06-07 00:00:00+05:30,56.4,57.3,55.4,56.95,13814874,UCOBANK
2024-06-10 00:00:00+05:30,57.1,57.56,56.15,56.42,12334185,UCOBANK
2024-06-11 00:00:00+05:30,56.5,56.93,55.8,56.16,10079346,UCOBANK
2024-06-12 00:00:00+05:30,56.2,58.5,56.07,57.3,18590268,UCOBANK
2024-06-13 00:00:00+05:30,57.9,58.04,56.7,56.94,9800932,UCOBANK
2024-06-14 00:00:00+05:30,57.0,57.55,56.5,56.8,7897385,UCOBANK
2024-06-18 00:00:00+05:30,57.0,57.76,56.0,56.26,8672742,UCOBANK
2024-06-19 00:00:00+05:30,56.45,57.6,55.02,56.31,15082270,UCOBANK
2024-06-20 00:00:00+05:30,56.59,59.1,56.42,57.42,26678575,UCOBANK
2024-06-21 00:00:00+05:30,57.85,57.85,56.4,56.75,9426725,UCOBANK
2024-06-24 00:00:00+05:30,56.5,57.08,55.92,56.2,6734795,UCOBANK
2024-06-25 00:00:00+05:30,56.39,56.8,55.5,55.6,7446858,UCOBANK
2024-06-26 00:00:00+05:30,55.8,56.32,55.0,55.12,7426029,UCOBANK
2024-06-27 00:00:00+05:30,55.13,55.35,53.61,54.2,10268001,UCOBANK
2024-06-28 00:00:00+05:30,54.3,56.08,54.29,54.78,9214823,UCOBANK
2024-07-01 00:00:00+05:30,55.0,57.52,54.3,54.66,13845823,UCOBANK
2024-07-02 00:00:00+05:30,54.89,55.24,53.75,53.94,6087072,UCOBANK
2024-07-03 00:00:00+05:30,54.2,54.69,54.0,54.13,4852673,UCOBANK
2024-07-04 00:00:00+05:30,54.27,54.55,53.75,53.91,5339473,UCOBANK
2024-07-05 00:00:00+05:30,54.28,55.45,54.25,54.54,9989864,UCOBANK
2024-07-08 00:00:00+05:30,54.88,54.9,53.81,54.08,5110957,UCOBANK
2024-07-09 00:00:00+05:30,54.07,57.4,53.95,55.13,29728972,UCOBANK
2024-07-10 00:00:00+05:30,55.35,55.74,53.9,54.72,8337963,UCOBANK
2024-07-11 00:00:00+05:30,55.0,55.19,54.2,54.36,5754856,UCOBANK
2024-07-12 00:00:00+05:30,54.5,55.33,54.2,54.38,6254547,UCOBANK
2024-07-15 00:00:00+05:30,54.7,57.69,53.9,56.39,36859416,UCOBANK
2024-07-16 00:00:00+05:30,56.5,57.85,55.67,56.09,11756138,UCOBANK
2024-07-18 00:00:00+05:30,56.04,58.45,55.02,56.8,28686740,UCOBANK
2024-07-19 00:00:00+05:30,56.8,57.7,54.66,55.06,14134582,UCOBANK
2024-07-22 00:00:00+05:30,55.0,57.2,54.3,56.08,17290366,UCOBANK
2024-07-23 00:00:00+05:30,56.25,56.4,52.25,54.45,14925419,UCOBANK
2024-07-24 00:00:00+05:30,54.5,57.14,54.31,55.8,15792376,UCOBANK
2024-07-25 00:00:00+05:30,55.49,56.54,55.12,55.65,7828296,UCOBANK
2024-07-26 00:00:00+05:30,55.9,58.45,55.66,57.14,26098098,UCOBANK
2024-07-29 00:00:00+05:30,58.0,60.68,57.16,57.34,31499863,UCOBANK
2024-07-30 00:00:00+05:30,57.53,57.73,56.75,56.95,8823670,UCOBANK
2024-07-31 00:00:00+05:30,57.2,57.28,56.01,56.26,7710637,UCOBANK
2024-08-01 00:00:00+05:30,56.5,57.34,55.29,55.54,8569531,UCOBANK
2024-08-02 00:00:00+05:30,54.99,55.9,54.57,55.18,7563458,UCOBANK
2024-08-05 00:00:00+05:30,54.0,54.25,51.4,51.67,16249844,UCOBANK
2024-08-06 00:00:00+05:30,52.45,53.45,50.26,50.55,12588351,UCOBANK
2024-08-07 00:00:00+05:30,52.0,52.2,50.61,51.95,7958004,UCOBANK
2024-08-08 00:00:00+05:30,52.0,52.92,51.21,51.47,8771018,UCOBANK
2024-08-09 00:00:00+05:30,52.0,52.3,51.39,51.61,7221320,UCOBANK
2024-08-12 00:00:00+05:30,51.01,51.38,50.62,51.17,5572721,UCOBANK
2024-08-13 00:00:00+05:30,51.4,51.84,50.21,50.42,4405887,UCOBANK
2024-08-14 00:00:00+05:30,50.4,50.65,49.6,49.74,6397489,UCOBANK
2024-08-16 00:00:00+05:30,50.4,50.85,50.05,50.68,3238713,UCOBANK
2024-08-19 00:00:00+05:30,51.2,52.25,51.19,51.95,5609042,UCOBANK
2024-08-20 00:00:00+05:30,52.1,52.4,51.67,52.2,5435698,UCOBANK
2024-08-21 00:00:00+05:30,52.5,52.53,52.05,52.23,3336026,UCOBANK
2024-08-22 00:00:00+05:30,52.5,53.05,52.22,52.5,4892821,UCOBANK
2024-08-23 00:00:00+05:30,52.7,52.7,51.55,51.86,3105359,UCOBANK
2024-08-26 00:00:00+05:30,51.99,52.08,51.5,51.67,3827212,UCOBANK
2024-08-27 00:00:00+05:30,51.7,51.98,51.37,51.5,3363183,UCOBANK
2024-08-28 00:00:00+05:30,51.75,52.08,51.12,51.23,2800309,UCOBANK
2024-08-29 00:00:00+05:30,51.3,51.44,50.6,50.93,3112900,UCOBANK
2024-08-30 00:00:00+05:30,51.2,51.7,50.8,51.02,3340159,UCOBANK
2024-09-02 00:00:00+05:30,51.1,51.19,50.24,50.58,4195476,UCOBANK
2024-09-03 00:00:00+05:30,50.71,51.39,50.01,50.67,3255159,UCOBANK
2024-09-04 00:00:00+05:30,50.49,50.74,48.2,50.02,3857406,UCOBANK
2024-09-05 00:00:00+05:30,50.3,50.45,49.7,49.85,3540044,UCOBANK
2024-09-06 00:00:00+05:30,49.85,50.08,48.8,49.03,4165472,UCOBANK
2024-09-09 00:00:00+05:30,48.61,48.99,47.72,48.48,4946741,UCOBANK
2024-09-10 00:00:00+05:30,48.71,49.5,48.71,49.17,3253890,UCOBANK
2024-09-11 00:00:00+05:30,49.45,49.45,48.28,48.46,2923287,UCOBANK
2024-09-12 00:00:00+05:30,48.9,48.99,48.33,48.53,2546370,UCOBANK
2024-09-13 00:00:00+05:30,48.81,50.6,48.57,49.64,7055468,UCOBANK
2024-09-16 00:00:00+05:30,49.9,50.57,49.3,49.5,4657048,UCOBANK
2024-09-17 00:00:00+05:30,49.66,49.66,48.71,48.94,2418841,UCOBANK
2024-09-18 00:00:00+05:30,48.94,49.21,48.36,48.64,2707251,UCOBANK
2024-09-19 00:00:00+05:30,48.9,49.17,47.01,47.51,4645329,UCOBANK
2024-09-20 00:00:00+05:30,47.7,48.24,47.25,47.93,3526300,UCOBANK
2024-09-23 00:00:00+05:30,48.0,50.64,48.0,50.26,12083132,UCOBANK
2024-09-24 00:00:00+05:30,50.39,50.39,49.21,49.38,5308366,UCOBANK
2024-09-25 00:00:00+05:30,49.3,49.37,48.3,48.55,3118518,UCOBANK
2024-09-26 00:00:00+05:30,48.7,49.48,48.02,48.55,5184091,UCOBANK
2024-09-27 00:00:00+05:30,48.55,49.48,48.5,48.81,6274512,UCOBANK
2024-09-30 00:00:00+05:30,48.69,48.88,48.0,48.24,3307722,UCOBANK
2024-10-01 00:00:00+05:30,48.2,48.54,48.0,48.08,2294537,UCOBANK
2024-10-03 00:00:00+05:30,47.05,47.7,47.0,47.1,3542627,UCOBANK
2024-10-04 00:00:00+05:30,47.1,47.43,45.68,46.72,5999970,UCOBANK
2024-10-07 00:00:00+05:30,47.01,47.44,44.2,44.56,6631537,UCOBANK
2024-10-08 00:00:00+05:30,44.72,45.77,44.16,45.43,4286385,UCOBANK
2024-10-09 00:00:00+05:30,45.9,46.43,44.2,45.78,3726064,UCOBANK
2024-10-10 00:00:00+05:30,45.99,46.36,44.4,45.5,2717372,UCOBANK
2024-10-11 00:00:00+05:30,45.84,45.84,45.15,45.26,2039918,UCOBANK
2024-10-14 00:00:00+05:30,45.44,45.8,45.02,45.11,2282907,UCOBANK
2024-10-15 00:00:00+05:30,45.33,45.4,44.91,45.18,2453597,UCOBANK
2024-10-16 00:00:00+05:30,45.0,46.09,45.0,45.56,2748784,UCOBANK
2024-10-17 00:00:00+05:30,45.71,45.79,44.9,45.11,2817461,UCOBANK
2024-10-18 00:00:00+05:30,45.0,46.0,44.31,45.68,4760112,UCOBANK
2024-10-21 00:00:00+05:30,47.8,48.43,46.1,46.39,19914386,UCOBANK
2024-10-22 00:00:00+05:30,46.29,46.29,43.36,43.76,7825214,UCOBANK
2024-10-23 00:00:00+05:30,43.99,44.35,41.83,43.54,10053249,UCOBANK
2024-10-24 00:00:00+05:30,43.64,45.29,43.42,44.77,9342196,UCOBANK
2024-10-25 00:00:00+05:30,44.8,44.81,42.52,43.03,5891822,UCOBANK
2024-10-28 00:00:00+05:30,43.05,44.35,42.76,43.99,6924275,UCOBANK
2024-10-29 00:00:00+05:30,44.2,45.24,42.52,44.98,6049017,UCOBANK
2024-10-30 00:00:00+05:30,44.99,46.5,44.59,46.0,7701365,UCOBANK
2024-10-31 00:00:00+05:30,45.6,46.74,45.58,46.11,5409076,UCOBANK
2024-11-01 00:00:00+05:30,46.35,46.73,46.07,46.56,1337498,UCOBANK
2024-11-04 00:00:00+05:30,46.41,46.41,44.97,45.44,3579786,UCOBANK
2024-11-05 00:00:00+05:30,45.1,46.4,45.1,46.05,4435181,UCOBANK
2024-11-06 00:00:00+05:30,46.15,46.8,45.99,46.67,4310476,UCOBANK
2024-11-07 00:00:00+05:30,46.75,47.79,46.4,46.66,5141083,UCOBANK
2024-11-08 00:00:00+05:30,46.39,46.59,45.25,45.48,2367241,UCOBANK
2024-11-11 00:00:00+05:30,45.3,45.55,44.2,44.4,3655128,UCOBANK
2024-11-12 00:00:00+05:30,44.55,45.18,43.52,43.87,2949524,UCOBANK
2024-11-13 00:00:00+05:30,42.5,43.64,41.36,41.61,5791301,UCOBANK
2024-11-14 00:00:00+05:30,41.8,42.2,40.2,41.27,4957458,UCOBANK
2024-11-18 00:00:00+05:30,41.86,42.42,40.6,41.59,4366441,UCOBANK
2024-11-19 00:00:00+05:30,41.75,43.17,41.71,42.48,6765690,UCOBANK
2024-11-21 00:00:00+05:30,42.75,42.75,41.03,41.51,4234302,UCOBANK
2024-11-22 00:00:00+05:30,41.95,42.19,41.5,41.87,3938304,UCOBANK
2024-11-25 00:00:00+05:30,42.7,45.4,42.7,44.33,11462693,UCOBANK
2024-11-26 00:00:00+05:30,44.36,44.62,43.38,43.81,4275132,UCOBANK
2024-11-27 00:00:00+05:30,43.94,44.36,43.74,44.25,2936139,UCOBANK
2024-11-28 00:00:00+05:30,44.32,45.38,44.06,44.96,5033496,UCOBANK
2024-11-29 00:00:00+05:30,45.36,45.65,43.47,44.48,6167156,UCOBANK
2024-12-02 00:00:00+05:30,44.4,44.6,43.91,44.24,2387025,UCOBANK
2024-12-03 00:00:00+05:30,44.49,45.48,44.41,45.13,4584272,UCOBANK
2024-12-04 00:00:00+05:30,45.3,51.5,45.2,50.39,92480063,UCOBANK
2024-12-05 00:00:00+05:30,51.8,52.0,49.0,49.69,27264597,UCOBANK
2024-12-06 00:00:00+05:30,49.8,51.94,49.11,50.03,30551055,UCOBANK
2024-12-09 00:00:00+05:30,50.19,50.33,49.3,49.6,7623623,UCOBANK
2024-12-10 00:00:00+05:30,49.49,49.89,48.3,48.73,9357157,UCOBANK
2024-12-11 00:00:00+05:30,48.75,49.28,48.25,48.39,6279652,UCOBANK
2024-12-12 00:00:00+05:30,48.39,48.88,47.66,48.62,5749588,UCOBANK
2024-12-13 00:00:00+05:30,48.48,48.6,45.84,46.89,12962580,UCOBANK
2024-12-16 00:00:00+05:30,47.0,48.3,46.8,47.06,6958293,UCOBANK
2024-12-17 00:00:00+05:30,46.96,47.15,46.11,46.41,3816666,UCOBANK
2024-12-18 00:00:00+05:30,46.25,46.49,45.2,45.36,4414375,UCOBANK
2024-12-19 00:00:00+05:30,44.5,45.57,44.3,45.24,4350063,UCOBANK
2024-12-20 00:00:00+05:30,45.0,45.6,44.0,44.18,4956288,UCOBANK
2024-12-23 00:00:00+05:30,44.5,44.84,43.5,43.57,4202249,UCOBANK
2024-12-24 00:00:00+05:30,43.93,43.99,43.43,43.8,2468672,UCOBANK
2024-12-26 00:00:00+05:30,43.8,44.2,42.9,43.26,3720196,UCOBANK
2024-12-27 00:00:00+05:30,43.56,43.77,42.91,43.01,2647177,UCOBANK
2024-12-30 00:00:00+05:30,43.0,43.31,42.2,42.39,3263546,UCOBANK
2024-12-31 00:00:00+05:30,42.49,44.09,42.25,43.87,4291824,UCOBANK
2025-01-01 00:00:00+05:30,43.6,44.1,43.43,43.86,2797343,UCOBANK
