date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,53.05,53.5,52.75,53.0,3853935,UJJIVANSFB
2024-05-27 00:00:00+05:30,53.6,54.0,52.55,53.45,6773813,UJJIVANSFB
2024-05-28 00:00:00+05:30,53.2,53.7,52.55,53.05,4029504,UJJIVANSFB
2024-05-29 00:00:00+05:30,49.9,51.45,49.7,50.45,19860224,UJJIVANSFB
2024-05-30 00:00:00+05:30,50.5,50.75,48.9,49.05,14787767,UJJIVANSFB
2024-05-31 00:00:00+05:30,49.45,50.25,48.0,49.75,15140895,UJJIVANSFB
2024-06-03 00:00:00+05:30,50.65,52.0,49.5,49.8,16771739,UJJIVANSFB
2024-06-04 00:00:00+05:30,49.8,49.9,40.0,45.3,33087888,UJJIVANSFB
2024-06-05 00:00:00+05:30,47.0,47.85,44.3,47.4,18207956,UJJIVANSFB
2024-06-06 00:00:00+05:30,48.65,49.3,47.5,47.85,12311253,UJJIVANSFB
2024-06-07 00:00:00+05:30,48.0,49.8,47.85,49.6,11959583,UJJIVANSFB
2024-06-10 00:00:00+05:30,49.81,50.9,49.8,50.1,15520883,UJJIVANSFB
2024-06-11 00:00:00+05:30,50.0,50.38,49.5,49.89,8924068,UJJIVANSFB
2024-06-12 00:00:00+05:30,49.79,50.1,49.65,49.78,9793425,UJJIVANSFB
2024-06-13 00:00:00+05:30,50.24,51.0,49.5,49.58,11737501,UJJIVANSFB
2024-06-14 00:00:00+05:30,49.79,50.1,49.43,49.97,7230362,UJJIVANSFB
2024-06-18 00:00:00+05:30,50.32,50.97,49.75,50.43,15258193,UJJIVANSFB
2024-06-19 00:00:00+05:30,50.55,50.61,49.61,50.05,10975995,UJJIVANSFB
2024-06-20 00:00:00+05:30,50.25,50.72,48.2,48.76,27543831,UJJIVANSFB
2024-06-21 00:00:00+05:30,49.37,50.3,48.1,48.36,42831688,UJJIVANSFB
2024-06-24 00:00:00+05:30,46.85,47.0,44.7,45.83,83961391,UJJIVANSFB
2024-06-25 00:00:00+05:30,46.5,46.8,45.15,45.23,28339037,UJJIVANSFB
2024-06-26 00:00:00+05:30,44.56,45.0,43.81,43.89,44660215,UJJIVANSFB
2024-06-27 00:00:00+05:30,44.0,44.3,43.0,43.78,38535731,UJJIVANSFB
2024-06-28 00:00:00+05:30,44.4,45.76,44.0,45.05,39881210,UJJIVANSFB
2024-07-01 00:00:00+05:30,45.8,45.8,44.2,44.45,25513856,UJJIVANSFB
2024-07-02 00:00:00+05:30,44.75,45.04,43.78,44.05,23474492,UJJIVANSFB
2024-07-03 00:00:00+05:30,44.48,44.69,44.14,44.24,15408026,UJJIVANSFB
2024-07-04 00:00:00+05:30,44.69,45.05,44.26,44.98,20585475,UJJIVANSFB
2024-07-05 00:00:00+05:30,44.51,45.0,44.11,44.84,18646398,UJJIVANSFB
2024-07-08 00:00:00+05:30,45.39,45.39,44.6,44.91,15241506,UJJIVANSFB
2024-07-09 00:00:00+05:30,45.25,45.9,44.87,45.27,17637316,UJJIVANSFB
2024-07-10 00:00:00+05:30,45.81,45.84,44.2,44.92,16133562,UJJIVANSFB
2024-07-11 00:00:00+05:30,45.31,45.51,44.9,45.36,13087366,UJJIVANSFB
2024-07-12 00:00:00+05:30,44.89,44.89,44.35,44.43,13397937,UJJIVANSFB
2024-07-15 00:00:00+05:30,44.5,44.59,43.86,43.91,15101992,UJJIVANSFB
2024-07-16 00:00:00+05:30,44.1,45.03,44.1,44.6,15046929,UJJIVANSFB
2024-07-18 00:00:00+05:30,44.69,44.85,43.81,43.92,14089899,UJJIVANSFB
2024-07-19 00:00:00+05:30,43.99,44.0,43.1,43.43,10947815,UJJIVANSFB
2024-07-22 00:00:00+05:30,43.71,44.62,43.42,44.53,11926886,UJJIVANSFB
2024-07-23 00:00:00+05:30,44.74,44.79,43.0,44.31,12336811,UJJIVANSFB
2024-07-24 00:00:00+05:30,44.31,44.74,44.04,44.49,11247878,UJJIVANSFB
2024-07-25 00:00:00+05:30,44.49,44.55,43.75,43.9,19502577,UJJIVANSFB
2024-07-26 00:00:00+05:30,43.5,43.94,42.9,43.16,24464581,UJJIVANSFB
2024-07-29 00:00:00+05:30,43.75,44.46,43.4,44.17,20086743,UJJIVANSFB
2024-07-30 00:00:00+05:30,44.49,45.57,44.13,45.16,19752430,UJJIVANSFB
2024-07-31 00:00:00+05:30,45.73,46.23,44.6,44.84,19361886,UJJIVANSFB
2024-08-01 00:00:00+05:30,45.4,45.7,44.81,45.11,10126455,UJJIVANSFB
2024-08-02 00:00:00+05:30,44.7,44.89,44.21,44.78,9600872,UJJIVANSFB
2024-08-05 00:00:00+05:30,43.89,44.19,43.02,43.1,15813791,UJJIVANSFB
2024-08-06 00:00:00+05:30,43.26,44.15,42.9,42.97,11172839,UJJIVANSFB
2024-08-07 00:00:00+05:30,43.54,43.54,42.45,42.54,14182482,UJJIVANSFB
2024-08-08 00:00:00+05:30,42.54,43.0,42.3,42.36,10401669,UJJIVANSFB
2024-08-09 00:00:00+05:30,42.89,42.89,42.12,42.29,10175345,UJJIVANSFB
2024-08-12 00:00:00+05:30,42.27,42.36,41.69,41.91,10418266,UJJIVANSFB
2024-08-13 00:00:00+05:30,41.92,42.31,41.62,41.75,7887381,UJJIVANSFB
2024-08-14 00:00:00+05:30,41.9,42.15,41.46,41.92,7622831,UJJIVANSFB
2024-08-16 00:00:00+05:30,42.0,42.3,41.79,41.95,8628163,UJJIVANSFB
2024-08-19 00:00:00+05:30,42.63,43.02,41.0,41.29,40931030,UJJIVANSFB
2024-08-20 00:00:00+05:30,41.48,43.95,41.3,43.39,29953758,UJJIVANSFB
2024-08-21 00:00:00+05:30,43.7,43.85,43.17,43.71,16742904,UJJIVANSFB
2024-08-22 00:00:00+05:30,43.98,44.11,43.48,43.78,13518100,UJJIVANSFB
2024-08-23 00:00:00+05:30,43.8,44.24,43.0,43.38,13775061,UJJIVANSFB
2024-08-26 00:00:00+05:30,44.0,44.48,43.65,43.73,13470488,UJJIVANSFB
2024-08-27 00:00:00+05:30,44.0,44.24,43.57,43.91,8926150,UJJIVANSFB
2024-08-28 00:00:00+05:30,43.91,44.1,43.65,43.72,7769228,UJJIVANSFB
2024-08-29 00:00:00+05:30,43.77,43.85,43.0,43.33,7005644,UJJIVANSFB
